donor,recipient,engraftment rate,flux,metabolism
D-4,59,0.16292234109924558,34.74740865952533,scfa metabolism
D-4,70,0.08898468251046276,46.14236231486378,scfa metabolism
D-4,71,0.067341869762449,43.90969262289058,scfa metabolism
D-4,75,-0.10508538954461707,38.37613970777265,scfa metabolism
D-4,77,0.15966679891545205,50.74761462557197,scfa metabolism
D-4,78,0.21659058490502345,37.611146821330216,scfa metabolism
D-4,88,-0.1931168640751687,36.44764542204704,scfa metabolism
D-4,89,0.12090700929178953,41.220465030933056,scfa metabolism
D-4,90,-0.1864037442273468,34.777313937336956,scfa metabolism
D-5Fryst,11,0.22072146210395477,41.71971924041056,scfa metabolism
D-5Fryst,12,-0.0459055561132191,41.486688294703164,scfa metabolism
D-5Fryst,16,0.1892849573617269,36.70445382182138,scfa metabolism
D-5Fryst,18,0.10858893791261356,87.24670025302252,scfa metabolism
D-5Fryst,19,0.24350531928558528,44.28182024403124,scfa metabolism
D-5Fryst,22,0.2285974292091629,44.84542875282657,scfa metabolism
D-5Fryst,23,0.05481716943153338,32.38003975647899,scfa metabolism
D-5Fryst,24,-0.048729734664060526,47.584440630324885,scfa metabolism
D-5Fryst,25,-0.0848982990802068,36.60143178146811,scfa metabolism
D-5Fryst,3,-0.11414749836802085,38.790226701891655,scfa metabolism
D-5Fryst,30,-0.09278138693151591,36.91734035118771,scfa metabolism
D-5Fryst,31,-0.13710475462185123,38.664492021573274,scfa metabolism
D-5Fryst,32,0.04669169477712428,37.23386034792064,scfa metabolism
D-5Fryst,33,0.06557892352984108,36.69418664563883,scfa metabolism
D-5Fryst,36,-0.03978206147602071,47.22682785711008,scfa metabolism
D-5Fryst,54,-0.14591516377014263,35.066642372516306,scfa metabolism
D-5Fryst,56,0.047020719628544774,39.988984157307954,scfa metabolism
D-5Fryst,59,0.13702394750415015,35.30730719315989,scfa metabolism
D-5Fryst,70,0.0674724086242185,43.726529572155314,scfa metabolism
D-5Fryst,71,0.083124132959645,45.493526108060806,scfa metabolism
D-5Fryst,75,-0.10471236319016233,38.62895443596958,scfa metabolism
D-5Fryst,77,0.16785237838706668,53.33945039280733,scfa metabolism
D-5Fryst,78,0.21821957516528764,65.44567544466732,scfa metabolism
D-5Fryst,88,-0.27931102439440236,39.37781045989226,scfa metabolism
