id,kingdom,phylum,class,order,family,genus,species,sample_id,abundance
645462,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridioides,Clostridium difficile,D-6Fresk,55.52676729763044
469621,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium periodonticum,D-6Fresk,1.9830988320582301
469590,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp.,D-6Fresk,230378.57441903665
657316,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Megamonas,Megamonas hypermegale,D-6Fresk,3.9661976641164602
762966,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Suterellaceae,Parasutterella,Parasutterella excrementihominis,D-6Fresk,13.88169182440761
1115803,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces naeslundii,D-6Fresk,11.89859299234938
1121303,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminiclostridium,Clostridium cellobioparum,D-6Fresk,67.42536028997982
500640,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Citrobacter,Citrobacter youngae,D-6Fresk,5.94929649617469
405534,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus cereus,D-6Fresk,15.864790656465841
585543,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp.,D-6Fresk,161991.41119550858
1262650,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus xylosus,D-6Fresk,1.9830988320582301
904314,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus pettenkoferi,D-6Fresk,1.9830988320582301
1410645,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium boum,D-6Fresk,21.81408715264053
698737,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus lugdunensis,D-6Fresk,7.9323953282329205
1203610,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Parabacteroides,Parabacteroides gordonii,D-6Fresk,4402.47940716927
279010,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus licheniformis,D-6Fresk,9.91549416029115
903510,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio furnissii,D-6Fresk,1.9830988320582301
457421,Bacteria,Firmicutes,Clostridia,Clostridiales,unclassified Clostridiales,unclassified Clostridiales,Clostridiales sp.,D-6Fresk,1755.0424663715337
1257041,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus mutans,D-6Fresk,7.9323953282329205
300267,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Shigella,Shigella dysenteriae,D-6Fresk,253.83665050345346
515620,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Eubacterium,Eubacterium eligens,D-6Fresk,10936.79005880114
1219013,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Nocardiaceae,Rhodococcus,Rhodococcus equi,D-6Fresk,1.9830988320582301
