taxon,average_distance,comparison,sample_id
457421,4.055071014002797,D-2 vs 11-0,D-2
469585,7.56958232609279,D-2 vs 11-0,D-2
469588,7.972056647354252,D-2 vs 11-0,D-2
469590,9.409769608184634,D-2 vs 11-0,D-2
469591,7.903301096746006,D-2 vs 11-0,D-2
469592,6.765837784792497,D-2 vs 11-0,D-2
469593,14.305217637261597,D-2 vs 11-0,D-2
469596,2.3778287325709933,D-2 vs 11-0,D-2
470146,5.979584716670412,D-2 vs 11-0,D-2
471875,4.630741829944643,D-2 vs 11-0,D-2
476272,5.854817850818871,D-2 vs 11-0,D-2
483218,4.767487444934442,D-2 vs 11-0,D-2
483215,8.663861819293958,D-2 vs 11-0,D-2
483217,11.611455164209062,D-2 vs 11-0,D-2
511680,4.311102660770407,D-2 vs 11-0,D-2
500632,4.538203101102104,D-2 vs 11-0,D-2
515620,16.780954836694058,D-2 vs 11-0,D-2
515619,7.759335300578852,D-2 vs 11-0,D-2
518637,2.2358831290118113,D-2 vs 11-0,D-2
518636,9.103613891165292,D-2 vs 11-0,D-2
536231,14.520809071264784,D-2 vs 11-0,D-2
537011,5.752476390111636,D-2 vs 11-0,D-2
537007,5.017221011349917,D-2 vs 11-0,D-2
547042,9.061479393042632,D-2 vs 11-0,D-2
545696,2.8787620847210693,D-2 vs 11-0,D-2
552398,7.650317736157774,D-2 vs 11-0,D-2
548480,2.3007009224878527,D-2 vs 11-0,D-2
556259,8.280675019624109,D-2 vs 11-0,D-2
556258,7.982332379673743,D-2 vs 11-0,D-2
563193,7.366131265958822,D-2 vs 11-0,D-2
566550,3.1176451849245526,D-2 vs 11-0,D-2
585394,8.328712851671579,D-2 vs 11-0,D-2
592028,13.707670463525105,D-2 vs 11-0,D-2
585543,13.023507985406189,D-2 vs 11-0,D-2
622312,10.6237605569619,D-2 vs 11-0,D-2
585544,8.339134353572629,D-2 vs 11-0,D-2
645463,3.3455909369935943,D-2 vs 11-0,D-2
649757,5.085176198478097,D-2 vs 11-0,D-2
657314,5.825669948789695,D-2 vs 11-0,D-2
657309,11.660609854748932,D-2 vs 11-0,D-2
657317,7.685080364328577,D-2 vs 11-0,D-2
657313,5.936080916385796,D-2 vs 11-0,D-2
657319,3.7583858212762893,D-2 vs 11-0,D-2
657321,4.331149462984568,D-2 vs 11-0,D-2
657322,9.62326319919818,D-2 vs 11-0,D-2
657323,6.092596658165996,D-2 vs 11-0,D-2
679935,8.883225439690847,D-2 vs 11-0,D-2
658089,4.817847947019566,D-2 vs 11-0,D-2
665951,6.427999959016923,D-2 vs 11-0,D-2
709991,12.636255039342105,D-2 vs 11-0,D-2
702447,8.443509433908968,D-2 vs 11-0,D-2
702443,12.791308456883646,D-2 vs 11-0,D-2
702444,8.732571989832795,D-2 vs 11-0,D-2
717959,14.757794162970276,D-2 vs 11-0,D-2
717960,5.246609405496704,D-2 vs 11-0,D-2
717962,7.402558242700435,D-2 vs 11-0,D-2
718252,10.978019852953711,D-2 vs 11-0,D-2
742726,11.416490024237099,D-2 vs 11-0,D-2
742733,7.348376954635851,D-2 vs 11-0,D-2
748224,17.204048927163086,D-2 vs 11-0,D-2
742740,4.107378478438988,D-2 vs 11-0,D-2
742741,5.0464358329358046,D-2 vs 11-0,D-2
762968,8.18240586294009,D-2 vs 11-0,D-2
862965,14.138314151321907,D-2 vs 11-0,D-2
762982,16.698202787579106,D-2 vs 11-0,D-2
762984,10.48929877508023,D-2 vs 11-0,D-2
888048,5.857315047826879,D-2 vs 11-0,D-2
818,8.003596170628821,D-2 vs 11-0,D-2
997884,14.725424572632127,D-2 vs 11-0,D-2
999410,4.833881598416739,D-2 vs 11-0,D-2
435591,8.368887054794172,D-2 vs 11-0,D-2
470145,12.714708586259613,D-2 vs 11-0,D-2
457424,10.507119373640716,D-2 vs 11-0,D-2
484018,9.713422112033896,D-2 vs 11-0,D-2
469589,7.646788013172878,D-2 vs 11-0,D-2
483216,14.334846517206927,D-2 vs 11-0,D-2
665953,14.365251296657416,D-2 vs 11-0,D-2
763034,7.105533205659785,D-2 vs 11-0,D-2
1077285,12.038552255837379,D-2 vs 11-0,D-2
1203465,5.003827274976784,D-2 vs 11-0,D-2
1203610,4.741093201081214,D-2 vs 11-0,D-2
1235789,4.500660369945704,D-2 vs 11-0,D-2
295405,6.224569148506867,D-2 vs 11-0,D-2
272559,4.514092023524241,D-2 vs 11-0,D-2
471870,5.907934148460609,D-2 vs 11-0,D-2
742727,9.227960665024282,D-2 vs 11-0,D-2
457392,4.911606640943931,D-2 vs 11-0,D-2
537006,8.933050557180325,D-2 vs 11-0,D-2
537012,4.334563476338973,D-2 vs 11-0,D-2
1122992,7.06751312435542,D-2 vs 11-0,D-2
862962,6.861782671564567,D-2 vs 11-0,D-2
679189,7.602917709111727,D-2 vs 11-0,D-2
563192,10.607023661299745,D-2 vs 11-0,D-2
742821,3.680581356588094,D-2 vs 11-0,D-2
742817,7.047749387084883,D-2 vs 11-0,D-2
868129,4.1625697395462735,D-2 vs 11-0,D-2
626522,2.5702380663165276,D-2 vs 11-0,D-2
450749,5.448878960393465,D-2 vs 11-0,D-2
457416,5.476378685598358,D-2 vs 11-0,D-2
479436,5.85688144984578,D-2 vs 11-0,D-2
866776,4.139898822364164,D-2 vs 11-0,D-2
546273,8.034431915192354,D-2 vs 11-0,D-2
1282887,3.066851021656628,D-2 vs 11-0,D-2
1123313,0.0,D-2 vs 11-0,D-2
1150460,0.0,D-2 vs 11-0,D-2
1121114,0.0,D-2 vs 11-0,D-2
1121333,0.0,D-2 vs 11-0,D-2
1123263,0.0,D-2 vs 11-0,D-2
1042156,0.0,D-2 vs 11-0,D-2
1384484,0.0,D-2 vs 11-0,D-2
1410647,0.0,D-2 vs 11-0,D-2
205913,0.0,D-2 vs 11-0,D-2
398513,0.0,D-2 vs 11-0,D-2
213810,0.0,D-2 vs 11-0,D-2
206672,0.0,D-2 vs 11-0,D-2
349741,0.0,D-2 vs 11-0,D-2
391904,0.0,D-2 vs 11-0,D-2
411490,0.0,D-2 vs 11-0,D-2
478749,0.0,D-2 vs 11-0,D-2
518635,0.0,D-2 vs 11-0,D-2
525362,0.0,D-2 vs 11-0,D-2
525259,0.0,D-2 vs 11-0,D-2
537013,0.0,D-2 vs 11-0,D-2
547043,0.0,D-2 vs 11-0,D-2
537937,0.0,D-2 vs 11-0,D-2
552396,0.0,D-2 vs 11-0,D-2
565040,0.0,D-2 vs 11-0,D-2
566552,0.0,D-2 vs 11-0,D-2
565042,0.0,D-2 vs 11-0,D-2
626939,0.0,D-2 vs 11-0,D-2
657308,0.0,D-2 vs 11-0,D-2
658659,0.0,D-2 vs 11-0,D-2
742725,0.0,D-2 vs 11-0,D-2
759350,0.0,D-2 vs 11-0,D-2
904306,0.0,D-2 vs 11-0,D-2
999412,0.0,D-2 vs 11-0,D-2
890402,0.0,D-2 vs 11-0,D-2
1121111,0.0,D-2 vs 11-0,D-2
1042403,0.0,D-2 vs 11-0,D-2
999413,0.0,D-2 vs 11-0,D-2
1121334,0.0,D-2 vs 11-0,D-2
1121344,0.0,D-2 vs 11-0,D-2
1122950,0.0,D-2 vs 11-0,D-2
1123075,0.0,D-2 vs 11-0,D-2
1410645,0.0,D-2 vs 11-0,D-2
207244,0.0,D-2 vs 11-0,D-2
272621,0.0,D-2 vs 11-0,D-2
264199,0.0,D-2 vs 11-0,D-2
352165,0.0,D-2 vs 11-0,D-2
411472,0.0,D-2 vs 11-0,D-2
442563,0.0,D-2 vs 11-0,D-2
428126,0.0,D-2 vs 11-0,D-2
451640,0.0,D-2 vs 11-0,D-2
445975,0.0,D-2 vs 11-0,D-2
479437,0.0,D-2 vs 11-0,D-2
521003,0.0,D-2 vs 11-0,D-2
525306,0.0,D-2 vs 11-0,D-2
543734,0.0,D-2 vs 11-0,D-2
552531,0.0,D-2 vs 11-0,D-2
555970,0.0,D-2 vs 11-0,D-2
565653,0.0,D-2 vs 11-0,D-2
568703,0.0,D-2 vs 11-0,D-2
556270,0.0,D-2 vs 11-0,D-2
573236,0.0,D-2 vs 11-0,D-2
568816,0.0,D-2 vs 11-0,D-2
580050,0.0,D-2 vs 11-0,D-2
742729,0.0,D-2 vs 11-0,D-2
641112,0.0,D-2 vs 11-0,D-2
665943,0.0,D-2 vs 11-0,D-2
742742,0.0,D-2 vs 11-0,D-2
742743,0.0,D-2 vs 11-0,D-2
883156,0.0,D-2 vs 11-0,D-2
903814,0.0,D-2 vs 11-0,D-2
904,0.0,D-2 vs 11-0,D-2
502558,0.0,D-2 vs 11-0,D-2
697329,0.0,D-2 vs 11-0,D-2
1203540,0.0,D-2 vs 11-0,D-2
1121130,5.932391418033917,D-2 vs 12-0,D-2
1002367,3.9535649192138083,D-2 vs 12-0,D-2
1121101,4.212413858499684,D-2 vs 12-0,D-2
1121100,8.82551562711215,D-2 vs 12-0,D-2
1121115,7.792243560686106,D-2 vs 12-0,D-2
1160721,11.877581789176554,D-2 vs 12-0,D-2
1203611,8.994973246166381,D-2 vs 12-0,D-2
1256908,5.065522013713587,D-2 vs 12-0,D-2
1408437,3.8067832919471556,D-2 vs 12-0,D-2
1437612,4.979250222713657,D-2 vs 12-0,D-2
