taxon,donor,donor_abd
AZC7E_26,E,0.00277481404775453
AZC7E_3,E,0.0198989005754119
AZC7E_32,E,0.00579604107382229
AZC7E_34,E,0.00113586282558357
AZC7E_36,E,0.00448775904274928
AZC7E_37,E,0.00991376303420443
AZC7E_38,E,0.0233212254046702
AZC7E_4,E,0.00299786258175139
AZC7E_42,E,0.0199639613849345
AZC7E_48,E,0.00458538945928881
AZC7E_5,E,0.00176354664240897
AZC7E_55,E,0.00173765000420653
AZC7E_58,E,0.00436998783591332
AZC7E_62,E,0.00331410824804025
AZC7E_68,E,0.00978356182803776
AZC7E_71,E,0.00165441513748065
AZC7E_72,E,0.00123977602995769
AZC7E_76,E,0.00142226464938457
AZC7E_79,E,0.00525147448087453
AZC7E_80,E,0.00500993193686791
AZC7E_81,E,0.00320335897885185
AZC7E_84,E,0.0022344626827557
AZC7E_87,E,0.00427134034945715
AZC7E_88,E,0.00158863217897728
AZC7E_90,E,0.00237191784476182
AZC7E_91,E,0.00272785980633088
AZC7E_93,E,0.00270506491701068
AZC7E_94,E,0.00162320705660065
AZC7E_95,E,0.00239035268952205
AZC7E_97,E,0.00439523974058185
AZC9C_102,E,0.00229343716411595
AZC9C_14,E,0.00165885242085846
AZC9C_25,E,0.00150798403022942
AZC9C_27,E,0.00176897320433006
AZC9C_34,E,0.00163661828992906
AZC9C_57,E,0.00150402777178877
AZC9C_88,E,0.00761699443342539
AZC3J_1,E,0
AZC3J_20,E,0
AZC3J_25,E,0
AZC3J_26,E,0
AZC3J_31,E,0
AZC3J_45,E,0
AZC3J_49,E,0
AZC3J_56,E,0
AZC3J_57,E,0
AZC3J_59,E,0
AZC3J_6,E,0
AZC3J_60,E,0
AZC3J_61,E,0
AZC3J_71,E,0
AZC3J_77,E,0
AZC3J_82,E,0
AZC3J_9,E,0
AZC3J_95,E,0
AZC5T_115,E,0
AZC5T_67,E,0
AZC7E_107,E,0
AZC7E_47,E,0
AZC7E_74,E,0
AZC9C_108,E,0
AZC9C_110,E,0
AZC9C_115,E,0
AZC9C_3,E,0
AZC9C_30,E,0
AZC9C_60,E,0
AZC9C_69,E,0
AZC9C_80,E,0
AZC9C_81,E,0
AZC9C_91,E,0
AZC9C_97,E,0
AZC3J_10,E,0
AZC3J_2,E,0
AZC3J_62,E,0
AZC3J_63,E,0
AZC3J_70,E,0
AZC3J_92,E,0
AZC5T_1,E,0
AZC5T_111,E,0
AZC5T_12,E,0
AZC5T_17,E,0
AZC5T_24,E,0
AZC5T_4,E,0
AZC5T_47,E,0
AZC5T_49,E,0
AZC5T_53,E,0
AZC5T_58,E,0
AZC5T_61,E,0
AZC5T_63,E,0
AZC5T_65,E,0
AZC5T_71,E,0
AZC5T_79,E,0
AZC5T_82,E,0
AZC5T_90,E,0
AZC5T_99,E,0
AZC7E_117,E,0
AZC7E_22,E,0
AZC7E_52,E,0
AZC9C_58,E,0
AZC3J_13,J,0.00121902050327269
AZC3J_18,J,0.141109546044207
AZC3J_28,J,0.00500693115701161
AZC3J_3,J,0
AZC3J_34,J,0.0167632750670209
AZC3J_46,J,0.00382276481836148
AZC3J_51,J,0
AZC3J_55,J,0.0132311008271681
AZC3J_64,J,0.00535155217796608
AZC3J_73,J,0.00102567883122993
AZC3J_74,J,0.0574760326649047
AZC3J_76,J,0
AZC3J_79,J,0.00996605400175683
AZC3J_80,J,0
AZC3J_81,J,0.00120966213706637
AZC3J_87,J,0.0344517841545644
AZC3J_91,J,0.0013645943909093
AZC3J_99,J,0.00340900486890506
AZC5T_104,J,0
AZC5T_107,J,0
AZC5T_109,J,0
AZC5T_119,J,0
AZC5T_120,J,0
AZC5T_122,J,0
AZC5T_14,J,0
AZC5T_19,J,0
AZC5T_22,J,0.00475981296091396
AZC5T_26,J,0.00344201556678969
AZC5T_30,J,0
AZC5T_37,J,0
AZC5T_38,J,0
AZC5T_44,J,0
AZC5T_57,J,0
AZC5T_64,J,0.0146059466134081
AZC5T_66,J,0
AZC5T_68,J,0
AZC5T_69,J,0.0122605294345238
AZC5T_78,J,0
AZC5T_8,J,0
AZC5T_80,J,0
AZC5T_85,J,0.00139820658078168
AZC5T_87,J,0.00482847562229633
AZC5T_93,J,0
AZC5T_94,J,0
AZC5T_97,J,0
AZC5T_98,J,0.00276708112914125
AZC7E_109,J,0
AZC7E_114,J,0
AZC7E_12,J,0
AZC7E_15,J,0
AZC7E_16,J,0.00246883917978293
AZC7E_25,J,0.0124097283328979
AZC7E_29,J,0.00173669168764717
AZC7E_39,J,0
AZC7E_45,J,0.00430848429119078
AZC7E_51,J,0
AZC7E_54,J,0.00529159434724242
AZC7E_57,J,0
AZC7E_59,J,0
AZC7E_60,J,0.00102795780624475
AZC7E_61,J,0
AZC7E_64,J,0
AZC7E_69,J,0.0075514712819517
AZC7E_70,J,0.00189264349759233
AZC7E_73,J,0
AZC7E_77,J,0
AZC7E_78,J,0.00357558283634643
AZC7E_82,J,0
AZC7E_89,J,0
AZC7E_96,J,0
AZC9C_103,J,0
AZC9C_106,J,0
AZC9C_112,J,0
AZC9C_113,J,0
AZC9C_116,J,0
AZC9C_18,J,0
AZC9C_29,J,0
AZC9C_32,J,0
AZC9C_40,J,0
AZC9C_53,J,0
AZC9C_54,J,0
AZC9C_6,J,0.00215509870821034
AZC9C_61,J,0
AZC9C_68,J,0.00302861786514207
AZC9C_7,J,0.0143872483115315
AZC9C_71,J,0
AZC9C_75,J,0
AZC9C_86,J,0
AZC9C_93,J,0
AZC9C_94,J,0
AZC9C_95,J,0
AZC9C_96,J,0.00231123906891392
AZC9C_98,J,0.00115099587247535
AZC3J_21,J,0.00263032099998215
AZC3J_32,J,0.00166604060145371
AZC3J_43,J,0
AZC3J_58,J,0
AZC3J_88,J,0.0032071611396671
AZC3J_90,J,0
AZC5T_106,J,0.0311741415047346
AZC5T_108,J,0
AZC5T_21,J,0.00238714764683879
AZC5T_32,J,0
AZC5T_34,J,0
AZC5T_39,J,0
AZC5T_41,J,0
AZC5T_51,J,0
AZC5T_52,J,0
AZC5T_84,J,0
AZC5T_9,J,0
AZC7E_101,J,0
AZC7E_104,J,0
AZC7E_105,J,0
AZC7E_106,J,0
AZC7E_111,J,0
AZC7E_113,J,0
AZC7E_115,J,0
AZC7E_116,J,0.00657698530234712
AZC7E_13,J,0
AZC7E_17,J,0
AZC7E_2,J,0
AZC7E_23,J,0
AZC7E_24,J,0
AZC7E_26,J,0
AZC7E_3,J,0
AZC7E_32,J,0
AZC7E_34,J,0.00195813861015795
AZC7E_36,J,0
AZC7E_37,J,0
AZC7E_38,J,0
AZC7E_4,J,0.0255959804014753
AZC7E_42,J,0
AZC7E_48,J,0
AZC7E_5,J,0
AZC7E_55,J,0
AZC7E_58,J,0
AZC7E_62,J,0
AZC7E_68,J,0
AZC7E_71,J,0
AZC7E_72,J,0.00921140795217697
AZC7E_76,J,0
AZC7E_79,J,0
AZC7E_80,J,0
AZC7E_81,J,0
AZC7E_84,J,0
AZC7E_87,J,0
AZC7E_88,J,0
AZC7E_90,J,0
AZC7E_91,J,0
AZC7E_93,J,0
AZC7E_94,J,0
AZC7E_95,J,0
AZC7E_97,J,0
AZC9C_102,J,0
