taxon,distance,sample_id,donor,recipient,mean_d0_abundance,fold_change,colonization,colonization_binary,independence,donor_diversity,recipient_diversity,diversity_ratio,donor_abd
AZC9C_18,4.99296207918525,CtoE,C,E,0.00100439057373854,0.90972540171906,non-colonized,0,23.31,3.79284979171124,4.06235438221927,0.933658030503779,0.00416696423404535
AZC9C_32,1.24037442571043,CtoE,C,E,0.00051934918986836,0.58406627878962,non-colonized,0,23.45,3.79284979171124,4.06235438221927,0.933658030503779,0.00259637343567507
AZC9C_53,0.620069100809062,CtoE,C,E,9.434033223785e-05,0.264638463404411,non-colonized,0,7.05,3.79284979171124,4.06235438221927,0.933658030503779,0.00252642219604377
AZC9C_54,2.7167095275209,CtoE,C,E,0.00088909981837736,0.0491221432033621,non-colonized,0,14.69,3.79284979171124,4.06235438221927,0.933658030503779,0.00524711128455717
AZC9C_61,0.635223537850563,CtoE,C,E,9.5776890933e-07,0.642954268666077,non-colonized,0,8.18,3.79284979171124,4.06235438221927,0.933658030503779,0.0015507033966748
AZC9C_75,6.67085628474302,CtoE,C,E,0.00158640020721735,0.487492187513924,non-colonized,0,22.54,3.79284979171124,4.06235438221927,0.933658030503779,0.0189964745414986
AZC9C_86,0.422851418513443,CtoE,C,E,0.00025688410499602,0.686876199134854,non-colonized,0,18.42,3.79284979171124,4.06235438221927,0.933658030503779,0.00118424545318412
AZC9C_95,3.06402350685598,CtoE,C,E,1.267114218655e-05,1.37975017479068,non-colonized,0,14.8,3.79284979171124,4.06235438221927,0.933658030503779,0.00504704670879761
AZC9C_96,0.401496827365912,CtoE,C,E,1.742092919471e-05,0.326160249529191,non-colonized,0,3.02,3.79284979171124,4.06235438221927,0.933658030503779,0.00146114386131979
AZC9C_112,0.71092039276046,CtoE,C,E,0.00024600071648101,1.56433881956561,non-colonized,0,13.06,3.79284979171124,4.06235438221927,0.933658030503779,0.00249780207747866
AZC3J_43,0.500187193319609,EtoJ,E,J,0.00038586240153674,0.717299104110348,non-colonized,0,16.3,4.06235438221927,3.43373291554281,1.18307232453375,0.00145931054104722
AZC3J_58,0.886964534584182,EtoJ,E,J,0.00024261049475745,11.4230254312762,non-colonized,0,14.79,4.06235438221927,3.43373291554281,1.18307232453375,0.00186919258110647
AZC3J_76,0.411039980449136,EtoJ,E,J,0.00014828047332624,12.6086689931608,non-colonized,0,20.87,4.06235438221927,3.43373291554281,1.18307232453375,0.00116037883624069
AZC3J_90,1.36573519170926,EtoJ,E,J,0.00066678659499828,1.46914733028206,non-colonized,0,13.31,4.06235438221927,3.43373291554281,1.18307232453375,0.00318536132341803
AZC5T_8,1.15012463368994,EtoJ,E,J,0.00018668446444097,0.846180934750067,non-colonized,0,14.76,4.06235438221927,3.43373291554281,1.18307232453375,0.0031812901212078
AZC5T_9,0.386095920905464,EtoJ,E,J,0.00011538298291394,0.697772031766421,non-colonized,0,13.75,4.06235438221927,3.43373291554281,1.18307232453375,0.0015609716875237
AZC5T_32,0.370846164195281,EtoJ,E,J,1.817515887813e-05,2.12105193314742,non-colonized,0,2.76,4.06235438221927,3.43373291554281,1.18307232453375,0.00138532878338633
AZC5T_34,0.43738530864004,EtoJ,E,J,0.00017269438890588,9.20819941358046,non-colonized,0,21.12,4.06235438221927,3.43373291554281,1.18307232453375,0.0010953568164117
AZC5T_39,0.616337976885845,EtoJ,E,J,2.817269553943e-05,16.5893007707712,non-colonized,0,10.49,4.06235438221927,3.43373291554281,1.18307232453375,0.00149939647296959
AZC5T_41,0.54810919714218,EtoJ,E,J,1.764400832152e-05,1.03854467876204,non-colonized,0,3.55,4.06235438221927,3.43373291554281,1.18307232453375,0.00126784662270023
AZC5T_51,0.464012226306744,EtoJ,E,J,7.37999751193e-05,0.25111157948191,non-colonized,0,4.43,4.06235438221927,3.43373291554281,1.18307232453375,0.00164185817178237
AZC5T_66,0.590392302433616,EtoJ,E,J,6.0234914995e-07,859.456036314837,non-colonized,0,11.55,4.06235438221927,3.43373291554281,1.18307232453375,0.00254392699887883
AZC5T_68,0.479760152425573,EtoJ,E,J,0.00023615889559002,0.622570870821167,non-colonized,0,17.03,4.06235438221927,3.43373291554281,1.18307232453375,0.00142798160085121
AZC5T_78,0.783492058962142,EtoJ,E,J,0.00072640657315902,0.651768945651619,non-colonized,0,16.06,4.06235438221927,3.43373291554281,1.18307232453375,0.00127260450000483
AZC5T_93,1.84840110827729,EtoJ,E,J,0.00061449722710546,5.13890449020771,non-colonized,0,23.45,4.06235438221927,3.43373291554281,1.18307232453375,0.00389577987183754
AZC5T_94,0.593962292594921,EtoJ,E,J,0.00012235884108673,6.76597155615244,non-colonized,0,22.81,4.06235438221927,3.43373291554281,1.18307232453375,0.0012598585173038
AZC5T_97,0.645753889224626,EtoJ,E,J,0.00060559849060014,5.10784181492265,non-colonized,0,22.38,4.06235438221927,3.43373291554281,1.18307232453375,0.00177276551181986
AZC5T_104,3.38708035814687,EtoJ,E,J,0.000773807088815,1.39334332846998,non-colonized,0,16.3,4.06235438221927,3.43373291554281,1.18307232453375,0.0043529627473956
AZC5T_107,1.10046254577203,EtoJ,E,J,0.00076532717841376,4.57629179141586,non-colonized,0,22.04,4.06235438221927,3.43373291554281,1.18307232453375,0.00237501810705513
AZC5T_108,0.66498489474191,EtoJ,E,J,8.2712438865e-06,1.07968264152409,non-colonized,0,3.76,4.06235438221927,3.43373291554281,1.18307232453375,0.00146310537756737
AZC5T_109,6.29135494007532,EtoJ,E,J,0.000335381173549,30.2269226887858,colonized,1,19.28,4.06235438221927,3.43373291554281,1.18307232453375,0.0093738233765665
AZC5T_120,14.4004392285631,EtoJ,E,J,4.78363799133e-06,0.396781042138548,non-colonized,0,7.44,4.06235438221927,3.43373291554281,1.18307232453375,0.0118916388478232
AZC7E_2,10.6578182784667,EtoJ,E,J,6.559602839283e-05,110.264206903466,colonized,1,14.37,4.06235438221927,3.43373291554281,1.18307232453375,0.0171484838649244
AZC7E_3,6.47498459624726,EtoJ,E,J,5.809997544172e-05,226.747046032709,colonized,1,19.96,4.06235438221927,3.43373291554281,1.18307232453375,0.0198989005754119
AZC7E_12,8.10707796297867,EtoJ,E,J,0.00039434350256368,15.3131823899416,colonized,1,22.55,4.06235438221927,3.43373291554281,1.18307232453375,0.0169330440784221
AZC7E_13,0.526726885281718,EtoJ,E,J,8.526948271182e-05,1.15031252697732,non-colonized,0,15.38,4.06235438221927,3.43373291554281,1.18307232453375,0.00183016221089563
AZC7E_15,15.5563679860145,EtoJ,E,J,0.00019185222419336,0.749103402983472,non-colonized,0,14.76,4.06235438221927,3.43373291554281,1.18307232453375,0.0686894950410282
AZC7E_17,1.32443767072654,EtoJ,E,J,6.19415561556e-05,57.6233135608889,non-colonized,0,20.67,4.06235438221927,3.43373291554281,1.18307232453375,0.00276926673910755
AZC7E_23,3.12627302341765,EtoJ,E,J,0.00037101514348834,43.4046605910417,colonized,1,22.38,4.06235438221927,3.43373291554281,1.18307232453375,0.00702896859185992
AZC7E_24,1.08331600700717,EtoJ,E,J,0.00011535342649201,0.863139832079085,non-colonized,0,13.79,4.06235438221927,3.43373291554281,1.18307232453375,0.00307237114648414
AZC7E_26,1.28614067941943,EtoJ,E,J,9.227387426702e-05,118.906821325298,colonized,1,20.08,4.06235438221927,3.43373291554281,1.18307232453375,0.00277481404775453
AZC7E_32,3.3202335408801,EtoJ,E,J,0.00011311789471717,93.168586072635,colonized,1,19.9,4.06235438221927,3.43373291554281,1.18307232453375,0.00579604107382229
AZC7E_36,1.711450875105,EtoJ,E,J,6.456086096545e-05,56.2226006773683,non-colonized,0,22.18,4.06235438221927,3.43373291554281,1.18307232453375,0.00448775904274928
AZC7E_37,3.54747796367605,EtoJ,E,J,0.00010179555078291,97.2557311978024,colonized,1,21.29,4.06235438221927,3.43373291554281,1.18307232453375,0.00991376303420443
AZC7E_38,7.80287954936616,EtoJ,E,J,0.00010466183022742,248.030388292093,colonized,1,18.86,4.06235438221927,3.43373291554281,1.18307232453375,0.0233212254046702
AZC7E_39,1.657095262751,EtoJ,E,J,1.079515067303e-05,745.221867307849,colonized,1,20.88,4.06235438221927,3.43373291554281,1.18307232453375,0.00434792304630614
AZC7E_42,9.62893524992175,EtoJ,E,J,0.00017201798590736,0.870782071329783,non-colonized,0,10.55,4.06235438221927,3.43373291554281,1.18307232453375,0.0199639613849345
AZC7E_48,1.21197020962174,EtoJ,E,J,3.438520673193e-05,9.95276761095324,non-colonized,0,18.38,4.06235438221927,3.43373291554281,1.18307232453375,0.00458538945928881
