taxon,distance,sample_id,abundance,growth_rate,degree centrality,shannon_diversity
AZC5T_115,1.2628378522252044,T,0.006749091699078,0.0550835072155781,1.9420289855072463,2.045681771527618
AZC5T_119,0.9676716112672782,T,0.0037113373885337,0.0302825911053987,4.188405797101449,2.4212913721153697
AZC9C_6,9.783451044294855,C,0.1202793004631136,1.4315844145376864,22.31764705882353,1.9409409523710313
AZC9C_7,0.805846070221965,C,0.0045602503858491,0.0543016084879822,5.623529411764705,2.1532611255822447
AZC9C_18,4.1702981572142255,C,0.0095422087678279,0.1136379502881328,7.8,1.962672996397321
AZC9C_29,0.43473586024631256,C,0.002682315985718,0.032009351581306,6.6,1.808607240359639
AZC9C_32,1.0518561460505418,C,0.0059456083544066,0.0708085273332854,6.541176470588235,2.1338577872687985
AZC9C_40,0.4485207970242099,C,0.0024193872402568,0.0288111528171744,4.105882352941176,2.322995408591539
AZC9C_53,0.8824267510123278,C,0.0057854223545661,0.0688582426643314,7.517647058823529,1.3544334102723665
AZC9C_54,2.247686314320635,C,0.0120157093973092,0.1430122782409675,6.352941176470588,1.8751048155943137
AZC9C_61,0.3578706573268141,C,0.0035510589285009,0.042268769230069,4.388235294117647,2.2933434740829868
AZC9C_68,0.3687939690737504,C,0.0026426377812857,0.0314603769586507,5.023529411764706,2.3771858323457176
AZC9C_71,3.9184261083970626,C,0.0210917363635559,0.2510367054864726,9.058823529411764,1.9224781217129012
AZC9C_75,4.967824375943701,C,0.043501291526981,0.5177591600647072,13.376470588235295,1.9219161930891424
AZC9C_86,0.33338180296870074,C,0.0027118824909287,0.0330366282808833,3.0823529411764707,2.0595777226491925
AZC9C_93,0.2913222158730445,C,0.0026354268966303,0.0313736242866832,4.317647058823529,2.4380365928564256
AZC9C_95,2.5872572106072163,C,0.0115575682082521,0.1377232216529943,6.447058823529412,2.1822081778165687
AZC9C_96,0.3962927049226543,C,0.003345970587083,0.0398271783973657,4.741176470588235,2.5183378193336248
AZC9C_98,0.3339112330986045,C,0.0023670101506892,0.0281797542831394,3.564705882352941,2.2259886699799507
AZC9C_106,1.0739146773603605,C,0.005193442613795,0.0618266561277291,5.258823529411765,1.995029589901816
AZC9C_112,0.5556498148774863,C,0.0057198832400047,0.0680957835201957,6.788235294117647,2.1413061579574904
AZC9C_113,1.4438849162560392,C,0.0058758620369046,0.0699460787740648,7.705882352941177,2.4768495934907566
AZC9C_116,2.0033839938027365,C,0.005020696185705,0.0597709354327614,7.576470588235294,2.398421388095026
AZC7E_2,8.022611988417129,E,0.025744672399965,0.4289838432209717,6.194444444444444,2.1547085087314994
AZC7E_3,4.776699138913207,E,0.0298738174446604,0.4977880570421147,11.166666666666666,1.9949548688941585
AZC7E_4,1.1064968444479988,E,0.0045006305324264,0.0750336035206209,3.7407407407407405,2.2434863913358654
AZC7E_12,6.482043697289993,E,0.0254212370007129,0.4235944722742012,9.657407407407407,1.925134092136172
AZC7E_13,0.5491108775309665,E,0.0027475855550516,0.0458122996365769,2.638888888888889,2.4224823808668443
AZC7E_15,12.532452679661585,E,0.1031221512688575,1.71834295266486,35.78703703703704,2.376632202348116
AZC7E_17,1.0375447364070147,E,0.0041574442118621,0.0693175662580526,3.3425925925925926,2.2112036178033687
AZC7E_23,2.3011253012426125,E,0.0105524485506972,0.1758712529623203,4.555555555555555,2.0827003885925826
AZC7E_24,0.6448894744212585,E,0.0046124887354691,0.0768778654457761,3.8148148148148144,2.2404652627501513
AZC7E_25,5.384078062348705,E,0.0217467548913058,0.362366389510283,6.981481481481481,2.0817858859774483
AZC7E_26,0.8673356259157063,E,0.0041657722742695,0.0694200434541975,4.138888888888888,2.5758810059409023
AZC7E_32,2.4736421861749336,E,0.0087014793749495,0.1449922948527731,6.768518518518518,2.270750243551639
AZC7E_34,0.2041484654429521,E,0.0017052479138262,0.0284217310624898,2.6666666666666665,2.51068196143993
AZC7E_36,1.7922244897195287,E,0.006737381991062,0.1123508675141086,3.768518518518518,2.1679447716818734
AZC7E_37,3.7505370054702967,E,0.0148833321695871,0.248007800463884,5.3240740740740735,2.0645892891019018
AZC7E_38,5.793134218102837,E,0.0350116845744616,0.583400597637901,12.009259259259258,1.9561361490769826
AZC7E_39,1.2957950786982464,E,0.0065274490345098,0.1088195468666425,3.185185185185185,2.0544000954987514
AZC7E_42,7.403069992533224,E,0.0299714919236656,0.4994155897171983,9.222222222222221,1.9409485719907682
AZC7E_48,1.0946669664142372,E,0.0068839525631243,0.1148294657401381,3.768518518518518,2.130523712286138
AZC7E_54,9.269900184287598,E,0.0440735545684886,0.7343989994074108,23.777777777777775,2.5514295307166273
AZC7E_55,0.48705701000280976,E,0.0026086988480419,0.0434713399334719,3.8611111111111107,2.5680525785086745
AZC7E_58,1.296802252184372,E,0.0065605744574035,0.1094330638193284,5.083333333333333,2.5544223041164504
AZC7E_60,1.7496742891153043,E,0.0057564062256764,0.0959734082901091,3.4814814814814814,2.1633450829934393
AZC7E_61,0.8859776866189385,E,0.0043018872382115,0.0717053019264365,3.75,2.4069964964654007
AZC7E_62,0.6836147279069342,E,0.0049754037625642,0.0829149956060247,3.2962962962962963,2.169664134478764
AZC7E_68,3.385894740880198,E,0.014687863729039,0.2447624289361488,8.175925925925926,2.26895843452866
AZC7E_70,7.752370611087242,E,0.0340274649593241,0.5670004833172912,9.833333333333332,1.9755056517312457
AZC7E_71,0.5701080347607794,E,0.002483740024102,0.0414107637740399,2.7314814814814814,2.22599562516284
AZC7E_72,0.41601578767540887,E,0.0018612507083423,0.0310224571328552,2.3703703703703702,2.2057704627424615
AZC7E_73,6.328540016624656,E,0.0278213896327301,0.4635883376802349,9.25,1.9882950138063928
AZC7E_76,0.386482928036624,E,0.0021352171861297,0.0355842233756104,5.0,2.5254184469474805
AZC7E_77,0.2585775630548621,E,0.0023202985297154,0.038669074380303,2.259259259259259,2.597464529521798
AZC7E_79,2.0789590215936693,E,0.007883932550062,0.1314314375136288,4.759259259259259,2.16927820238036
AZC7E_80,2.619255137342327,E,0.0075213096082856,0.1253407157029497,6.537037037037036,1.7219410751196247
AZC7E_81,1.3783421135298903,E,0.0048091381220417,0.0801672503281006,3.333333333333333,2.1614591117222646
AZC7E_84,0.8112414180867467,E,0.0033545536859474,0.0559279947407596,2.9166666666666665,2.2114907272918476
AZC7E_87,0.989536395975494,E,0.0064124769788218,0.1069648395616576,3.212962962962963,2.1356911385686526
AZC7E_88,0.5422091748607808,E,0.0023849813974205,0.0397648376428072,2.7314814814814814,2.226901330401629
AZC7E_89,3.7877544426920466,E,0.0191716605216966,0.3194641439897918,7.675925925925926,2.1133272460004164
AZC7E_90,0.692450433507527,E,0.0035609123438559,0.0593642375350229,3.435185185185185,2.425559285238396
