taxon,met_independence
1121334,27.58
1121342,30.1
1121344,25.19
1121367,26.67
1121445,28.71
1121482,30.36
1121864,26.71
1122237,27.66
1122603,28.83
1122917,30.73
1122949,16.35
1122950,20.01
1122975,18.97
1122976,19.0
1122978,28.87
1122981,19.75
1122982,19.45
1122984,18.58
1122985,20.97
1122988,17.65
1122991,20.04
1122992,18.17
1122993,18.4
1122997,28.48
1123075,29.66
1123242,28.85
1123253,27.18
1123263,14.87
1123313,26.01
1123318,21.04
1123488,24.17
1123524,30.51
1124991,30.22
1125712,27.64
1125724,22.18
1127131,18.94
1130798,22.12
1133568,23.85
1136177,26.67
1139219,25.5
1140001,21.85
1140002,29.32
1144300,22.79
1150460,25.62
1150461,25.07
1156431,21.31
1156433,24.16
1156918,26.89
1158606,27.24
1158610,21.44
1158612,27.21
1159488,26.48
1159899,31.99
1160707,29.44
1160719,23.58
1160721,26.89
1163399,27.52
1167632,26.46
1170318,29.27
1171373,29.6
1175296,20.04
1176165,26.04
1178544,29.32
1185325,27.89
1189311,23.45
1194526,26.07
1196029,30.74
1197728,19.82
1197906,27.63
1198291,29.13
1202533,30.34
1202534,29.18
1203465,30.79
1203540,25.0
1203606,29.5
1203610,30.83
1203611,24.03
1206781,30.02
1208104,29.14
1211815,28.96
1211844,26.51
1212545,26.57
1214102,29.73
1215110,30.51
1215915,27.78
1216976,29.07
1217674,26.52
1217689,27.31
1217986,26.91
1218102,26.89
1219013,29.28
1223528,26.68
1229756,22.42
1229781,26.35
1231627,28.32
1232666,27.46
1233170,21.7
1235789,30.99
1235795,31.57
1235811,17.8
1235815,18.82
1236550,27.69
1237085,17.33
1244083,24.6
1246477,29.61
1248438,30.12
1254439,25.27
1255680,27.92
1256908,29.47
1257041,25.51
1259823,30.5
1260282,30.5
1261127,32.19
1262650,26.61
1274524,29.47
1276282,24.67
1278306,20.71
1280689,28.58
1280692,22.06
1280694,29.82
1280705,29.52
1282887,29.51
1286820,31.23
1292022,26.84
1292036,18.75
1292043,31.96
1295400,25.13
1296619,23.67
1300222,29.74
1304881,31.23
1307436,30.26
1315312,30.72
1315976,28.54
1316928,29.47
1316931,32.01
1319815,25.79
1321814,15.05
1322347,25.09
1328337,32.19
1331262,27.83
1336236,28.58
1336752,30.89
1336753,29.5
1346330,28.0
1346614,30.3
1353979,26.61
1367477,30.51
1382315,31.1
1384484,25.0
1392501,30.62
1397694,24.56
1400136,32.19
1401079,14.02
1408437,26.48
1408440,16.12
1408472,29.39
1410645,25.07
1410647,25.61
1410657,28.33
1410665,29.3
1410676,28.61
1415164,26.61
1423757,24.33
1423799,19.4
1423814,17.06
1429046,30.01
1437595,24.4
1437599,23.12
1437603,23.73
1437612,25.15
1437882,29.74
1440052,31.07
1441930,30.5
1444307,30.61
1446473,31.21
1448136,30.44
1448141,23.99
1458276,29.54
1899017,21.4
