taxon_id,sample,normalized_count
563192,ERR12542609,3440.588124742839
563193,ERR12542609,25617.786544938514
563194,ERR12542609,28.711444712735798
565040,ERR12542609,28942.332580634047
565042,ERR12542609,33857.97117749369
565047,ERR12542609,13.159412160003907
565653,ERR12542609,34.692995694555755
566550,ERR12542609,9178.091826504542
566551,ERR12542609,21.533583534551845
566552,ERR12542609,17783.151068950734
568703,ERR12542609,17.94465294545987
568816,ERR12542609,4400.028902226761
573236,ERR12542609,112.4531584582152
575586,ERR12542609,1.1963101963639915
575587,ERR12542609,9.570481570911932
575594,ERR12542609,5.981550981819956
575595,ERR12542609,3.5889305890919747
580050,ERR12542609,105.27529728003125
585054,ERR12542609,75.36754237093146
585394,ERR12542609,215417.1844388712
585501,ERR12542609,340.9484059637376
585506,ERR12542609,13.159412160003907
585520,ERR12542609,3.5889305890919747
585524,ERR12542609,10.766791767275922
585543,ERR12542609,49030.773397978184
585544,ERR12542609,2141.395251491545
586220,ERR12542609,34.692995694555755
591001,ERR12542609,992.9374629821128
591020,ERR12542609,655.5779876074673
591365,ERR12542609,21.533583534551845
592010,ERR12542609,27.515134516371802
592022,ERR12542609,19.140963141823864
592028,ERR12542609,138.77198277822302
592031,ERR12542609,222.51369652370244
596315,ERR12542609,100.49005649457528
596320,ERR12542609,8.37417137454794
596327,ERR12542609,166.28711729459482
613026,ERR12542609,1.1963101963639915
622312,ERR12542609,93668.6957549078
626095,ERR12542609,5.981550981819956
626369,ERR12542609,26.318824320007813
626522,ERR12542609,1128.1205151712438
626939,ERR12542609,339388.4174676789
629741,ERR12542609,31.10406510546378
632245,ERR12542609,253.6177616291662
633147,ERR12542609,5975.569430838137
634176,ERR12542609,28.711444712735798
634498,ERR12542609,8.37417137454794
638301,ERR12542609,16.74834274909588
640513,ERR12542609,25.12251412364382
641112,ERR12542609,1646.1228301968524
641118,ERR12542609,32.30037530182777
641143,ERR12542609,72.97492197820348
641146,ERR12542609,46.65609765819567
642492,ERR12542609,232.08417809461434
644042,ERR12542609,8.37417137454794
644283,ERR12542609,142.360913367315
644284,ERR12542609,5.981550981819956
645127,ERR12542609,13.159412160003907
645462,ERR12542609,657.9706080001953
645463,ERR12542609,2625.900881018961
645464,ERR12542609,63.40444040729155
649746,ERR12542609,10.766791767275922
649747,ERR12542609,57.422889425471595
649754,ERR12542609,10.766791767275922
649757,ERR12542609,17563.029992819756
649764,ERR12542609,1006.0968751421169
655811,ERR12542609,25.12251412364382
655812,ERR12542609,59.81550981819957
657308,ERR12542609,8712.72716011895
657309,ERR12542609,1576.7368388077407
657313,ERR12542609,59535.5732322504
657314,ERR12542609,51942.59241592814
657316,ERR12542609,21.533583534551845
657317,ERR12542609,110170.5986035527
657319,ERR12542609,37401.441979123825
657321,ERR12542609,184350.2049494947
657322,ERR12542609,201525.63043869252
657323,ERR12542609,693172.0355282058
657324,ERR12542609,391.19343421102525
658089,ERR12542609,7704.237664584105
658659,ERR12542609,9162.539793951812
663952,ERR12542609,9.570481570911932
665943,ERR12542609,1975.1081341969498
665951,ERR12542609,8984.289574693576
665953,ERR12542609,5642.995196248948
675806,ERR12542609,23.926203927279825
675812,ERR12542609,22.729893730915837
679189,ERR12542609,1933.2372773242103
679192,ERR12542609,630.4554734838234
679935,ERR12542609,7804.72772107868
680646,ERR12542609,111.25684826185122
688245,ERR12542609,32.30037530182777
692420,ERR12542609,17.94465294545987
695560,ERR12542609,5.981550981819956
697329,ERR12542609,857.7544107929818
698737,ERR12542609,17.94465294545987
702443,ERR12542609,43161.67557461645
702444,ERR12542609,3506.385185542859
702447,ERR12542609,3982.516643695728
702459,ERR12542609,1518.117639185905
706433,ERR12542609,976.189120233017
709991,ERR12542609,9765.480132919261
717959,ERR12542609,39588.29701807721
717960,ERR12542609,25603.430822582148
717962,ERR12542609,87202.63914356043
718251,ERR12542609,35.88930589091974
718252,ERR12542609,316615.456569694
720554,ERR12542609,631.6517836801875
742725,ERR12542609,2335.1975033025114
742726,ERR12542609,4407.2067634049445
742727,ERR12542609,2298.111887215228
742729,ERR12542609,110.06053806548721
742733,ERR12542609,5885.846166110838
742740,ERR12542609,13463.27494988036
742741,ERR12542609,6237.561363841851
742742,ERR12542609,3463.3180184737553
742743,ERR12542609,1199.8991269530834
742766,ERR12542609,107.66791767275923
742816,ERR12542609,65.79706080001952
742817,ERR12542609,218.92476593461043
742818,ERR12542609,1774.1280212077993
742820,ERR12542609,34.692995694555755
742821,ERR12542609,3579.3601075210627
743710,ERR12542609,4.785240785455966
743719,ERR12542609,84.9380239418434
748224,ERR12542609,237613.5238222087
749219,ERR12542609,1.1963101963639915
749518,ERR12542609,19.140963141823864
752555,ERR12542609,2704.857353978985
754252,ERR12542609,55.030269032743604
758678,ERR12542609,45.459787461831674
759350,ERR12542609,14139.190210826015
762376,ERR12542609,78.95647296002343
762948,ERR12542609,58.619199621835584
762966,ERR12542609,486.89824992014456
762967,ERR12542609,319.41482242918573
762968,ERR12542609,60110.99843670148
762982,ERR12542609,14721.793276455277
762983,ERR12542609,1236.9847430403672
762984,ERR12542609,698.6451546765711
763034,ERR12542609,1877.0106980951025
767029,ERR12542609,129.20150120731108
767031,ERR12542609,2747.9245210480885
768486,ERR12542609,14.355722356367899
862514,ERR12542609,29.907754909099786
862962,ERR12542609,3937.056856233896
862965,ERR12542609,98.0974361018473
863767,ERR12542609,10.766791767275922
864566,ERR12542609,1.1963101963639915
866499,ERR12542609,281.132896145538
866771,ERR12542609,2336.3938134988753
866776,ERR12542609,21.533583534551845
868129,ERR12542609,15244.580832266343
871541,ERR12542609,239.2620392727983
871585,ERR12542609,3.5889305890919747
873513,ERR12542609,4494.537407739516
873533,ERR12542609,759.6569746911346
878320,ERR12542609,51.44133844365164
879088,ERR12542609,5.981550981819956
879089,ERR12542609,10.766791767275922
879090,ERR12542609,10.766791767275922
879243,ERR12542609,217.72845573824645
883062,ERR12542609,672.3263303565632
883077,ERR12542609,296.6849286982699
883156,ERR12542609,1283.640840698563
883166,ERR12542609,20.337273338187853
886872,ERR12542609,15.55203255273189
887898,ERR12542609,106.47160747639523
887929,ERR12542609,145.94984395640697
888048,ERR12542609,90.91957492366335
888050,ERR12542609,33.49668549819176
888066,ERR12542609,4.785240785455966
888727,ERR12542609,465.36466638559267
888746,ERR12542609,15.55203255273189
888826,ERR12542609,7.177861178183949
888832,ERR12542609,1475.0504721168015
888833,ERR12542609,40.674546676375705
889201,ERR12542609,33.49668549819176
889204,ERR12542609,20.337273338187853
890402,ERR12542609,30868.391996780072
903510,ERR12542609,4.785240785455966
903814,ERR12542609,1591.0925611641087
904306,ERR12542609,64.60075060365554
904314,ERR12542609,20.337273338187853
908290,ERR12542609,34.692995694555755
908338,ERR12542609,37.08561608728374
