taxon,donor_subject,donor_abundance
547043,FAT_DON_11,230.05219583520275
548476,FAT_DON_11,4.258397727278929
548477,FAT_DON_11,28.57452085194663
548479,FAT_DON_11,170.49163090901556
548480,FAT_DON_11,3266.13069107294
552396,FAT_DON_11,4997.079092035077
552398,FAT_DON_11,16932.18483825863
552531,FAT_DON_11,5266.721722336428
553174,FAT_DON_11,40.226496855869996
553175,FAT_DON_11,26.14801196324908
553177,FAT_DON_11,2.5294621484202295
553184,FAT_DON_11,40.075028868821775
553204,FAT_DON_11,81.97826921041542
553206,FAT_DON_11,5.683746556137543
553218,FAT_DON_11,15.12598262598474
553220,FAT_DON_11,14.514422788373347
553481,FAT_DON_11,11.99231537157217
553482,FAT_DON_11,13.048614878107463
553973,FAT_DON_11,458.18655068755567
555970,FAT_DON_11,5212.409419879709
556258,FAT_DON_11,5774.13905663811
556259,FAT_DON_11,13936.3297297566
556263,FAT_DON_11,7.7750856975022105
556264,FAT_DON_11,11.388782081930025
556267,FAT_DON_11,1.6473455996939652
556268,FAT_DON_11,329.3147967036344
556269,FAT_DON_11,22.95693778243154
556270,FAT_DON_11,1234.385119731998
557598,FAT_DON_11,5.524206808166098
561177,FAT_DON_11,22.479138976673408
561180,FAT_DON_11,4.264268261894066
562973,FAT_DON_11,201.35554668633952
562982,FAT_DON_11,105.48792092000343
562983,FAT_DON_11,138.10401234870957
563192,FAT_DON_11,4846.553157104427
563193,FAT_DON_11,20490.549756878085
563194,FAT_DON_11,4.589181137000593
565040,FAT_DON_11,2295.2480011883185
565042,FAT_DON_11,2158.5542164770395
565047,FAT_DON_11,5.7653365353022785
565653,FAT_DON_11,147.94107645699827
566550,FAT_DON_11,4913.763495314279
566551,FAT_DON_11,9.546636371122288
566552,FAT_DON_11,152.23092467480896
568703,FAT_DON_11,4485.81363267381
568816,FAT_DON_11,425.1544797968335
573236,FAT_DON_11,5254.15315270334
575586,FAT_DON_11,0.8372711297077716
575587,FAT_DON_11,1.059267900543122
575594,FAT_DON_11,6.275501621097913
575595,FAT_DON_11,2.5838554678633856
580050,FAT_DON_11,5223.879231590808
585054,FAT_DON_11,140.4967128412588
585394,FAT_DON_11,72622.74643567212
585501,FAT_DON_11,338.45997539150284
585506,FAT_DON_11,13.527897880869512
585520,FAT_DON_11,21.022887024334665
585524,FAT_DON_11,3.7930780605017875
585543,FAT_DON_11,137912.54966946598
585544,FAT_DON_11,9139.69404214552
586220,FAT_DON_11,37.85282277870868
591001,FAT_DON_11,131.8286432344127
591020,FAT_DON_11,187.88458760116796
591365,FAT_DON_11,57.326060548909076
592010,FAT_DON_11,74.78380307159296
592022,FAT_DON_11,9.587804424331255
592028,FAT_DON_11,466.473535021155
592031,FAT_DON_11,44.30250735761562
596315,FAT_DON_11,72.19261391255706
596320,FAT_DON_11,29.76468479918721
596327,FAT_DON_11,61.9109878550995
613026,FAT_DON_11,0.8372711297077716
622312,FAT_DON_11,304813.5976166208
626095,FAT_DON_11,5.231652155594592
626369,FAT_DON_11,36.3135709611043
626522,FAT_DON_11,555.3030347853959
626939,FAT_DON_11,2272.698837856759
629741,FAT_DON_11,3.249845780369437
632245,FAT_DON_11,112.38318664643703
633147,FAT_DON_11,145.02640042396172
634176,FAT_DON_11,83.82762908853867
634498,FAT_DON_11,3.6938393220401378
638301,FAT_DON_11,221.7772341541412
640513,FAT_DON_11,9.774540832024279
641112,FAT_DON_11,11205.563844718388
641118,FAT_DON_11,9.394488510221398
641143,FAT_DON_11,2.2177745395478934
641146,FAT_DON_11,3.526235870647944
642492,FAT_DON_11,267.26571788158776
644042,FAT_DON_11,19.700454299747225
644283,FAT_DON_11,23.036342650293147
644284,FAT_DON_11,5.095668856986701
645127,FAT_DON_11,3.721035981761716
645462,FAT_DON_11,311.5886869380421
645463,FAT_DON_11,5050.20432113978
645464,FAT_DON_11,77.54279444222263
649746,FAT_DON_11,3.8144041856082285
649747,FAT_DON_11,18.54197675869148
649754,FAT_DON_11,4.910416646297592
649757,FAT_DON_11,141978.2781086601
649764,FAT_DON_11,97.18293967495758
655811,FAT_DON_11,35.852629574435895
655812,FAT_DON_11,30.267412784958307
657308,FAT_DON_11,5387.258129318531
657309,FAT_DON_11,12023.553474325425
657313,FAT_DON_11,34147.27533909825
657314,FAT_DON_11,102810.86276526861
657316,FAT_DON_11,20.9935262937565
657317,FAT_DON_11,187407.65605441798
657319,FAT_DON_11,16860.217863254235
657321,FAT_DON_11,7288.5484902157905
657322,FAT_DON_11,357084.9359335178
657323,FAT_DON_11,182519.0633462804
657324,FAT_DON_11,696.4339108548346
658089,FAT_DON_11,163731.94423596223
658659,FAT_DON_11,4726.512319888596
663952,FAT_DON_11,35.31159852061163
665943,FAT_DON_11,653.0437110655629
665951,FAT_DON_11,13789.277600283947
665953,FAT_DON_11,6578.819195894335
675806,FAT_DON_11,2.313335912200016
675812,FAT_DON_11,4.579633236575929
679189,FAT_DON_11,351.45198285475266
679192,FAT_DON_11,42.98231301478777
679935,FAT_DON_11,8213.165928083985
680646,FAT_DON_11,438.28162774140833
688245,FAT_DON_11,13.280934774569696
692420,FAT_DON_11,6.410000722701889
695560,FAT_DON_11,6.895162317581556
697329,FAT_DON_11,1194.2512046652084
698737,FAT_DON_11,4.145187595329892
702443,FAT_DON_11,14802.206120951718
702444,FAT_DON_11,5215.4361954143615
702447,FAT_DON_11,5754.917550942061
702459,FAT_DON_11,33.84069530093283
706433,FAT_DON_11,190.97523418291357
709991,FAT_DON_11,68757.57712664026
717959,FAT_DON_11,62213.63343670755
717960,FAT_DON_11,11881.759263380125
717962,FAT_DON_11,32462.21922396329
718251,FAT_DON_11,9.27024628084378
718252,FAT_DON_11,297970.2936836156
720554,FAT_DON_11,308.63614128796456
742725,FAT_DON_11,971.3133456965361
742726,FAT_DON_11,33060.71176009365
742727,FAT_DON_11,10358.965449264986
742729,FAT_DON_11,5219.165123425135
742733,FAT_DON_11,7752.927169512234
742740,FAT_DON_11,15595.156868738506
