id,abundance,sample_id,kingdom,phylum,class,order,family,genus,species
AZC9C_68,6873.751251729193,C,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,Homeothermus,GCA_002358615.1
AZC9C_7,11861.643324677503,C,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,CAG-485,CAG-485 sp1
AZC9C_71,54861.604665167426,C,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus_B,Lactobacillus_B murinus
AZC9C_75,113150.98088847309,C,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides congonensis
AZC9C_86,7053.863302254837,C,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,UBA1820,UBA1820,
AZC9C_93,6854.99505752899,C,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,COE1,
AZC9C_94,32680.546493031172,C,Bacteria,Firmicutes_A,Clostridia,TANB77,CAG-508,Clostridium,
AZC9C_95,30062.3299572162,C,Bacteria,Firmicutes_B,Peptococcia,Peptococcales,Peptococcaceae,UBA7185,
AZC9C_96,8703.186518441888,C,Bacteria,Firmicutes,Bacilli,RF39,UBA660,CAG-776,
AZC9C_98,6156.817669593529,C,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,Dorea,
AZC3J_21,7021.1209571808995,E,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,COE1,
AZC3J_32,17050.97002763325,E,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,CAG-485,CAG-485 sp6
AZC3J_34,13410.644283619984,E,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,COE1,GCA_002490665.1
AZC3J_43,8692.266492904362,E,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,Eubacterium_F,
AZC3J_51,70915.21498116132,E,Bacteria,Firmicutes_A,Clostridia,4C28d-15,CAG-727,UBA11940,
AZC3J_55,9833.483363044352,E,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus johnsonii
AZC3J_58,11133.696073953783,E,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospira,
AZC3J_74,65242.01778013919,E,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,CAG-485,CAG-485 sp1
AZC3J_76,6911.703707760235,E,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,UBA7173,GCA_001689485.1
AZC3J_79,17954.086250393644,E,Bacteria,Firmicutes,Bacilli,RF39,UBA660,CAG-582,
AZC3J_81,8428.146386403792,E,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,COE1,GCF_000403335.2
AZC3J_88,12612.02276840049,E,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,CAG-1031,
AZC3J_90,18973.349894033443,E,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,unclassified Lachnospiraceae,
AZC3J_91,6934.1171112617985,E,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,28-4,
AZC5T_104,25928.074367842102,E,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,CAG-303,
