taxon,colonization_binary,distance,independence,mean_d0_abundance,diversity_ratio
AZC9C_34,0,0.503314094121468,13.28,0.00026082942465371,0.905317400928128
AZC9C_60,0,0.330358350005953,10.3,0.00155054612771599,0.905317400928128
AZC9C_69,0,1.54040572094417,10.78,1.18589472406e-06,0.905317400928128
AZC9C_80,0,0.316490500696744,9.47,0.00042405811483701,0.905317400928128
AZC9C_81,0,0.290913450835925,14.89,0.0006923895542628,0.905317400928128
AZC9C_91,0,0.365977727639502,16.99,0.00037852951479867,0.905317400928128
AZC9C_108,0,0.428678132176989,14.46,0.00023361328959655,0.905317400928128
AZC9C_110,0,0.497138172806313,16.2,0.00062198126833352,0.905317400928128
AZC9C_115,0,0.369384838286971,3.36,0.0001235096729463,0.905317400928128
AZC3J_1,0,0.485468540133457,16.05,0.00086999555795244,0.845256861531355
AZC3J_6,0,2.02156324476993,11.81,3.950904311459e-05,0.845256861531355
AZC3J_9,0,0.314277052944344,14.83,0.00025593650998449,0.845256861531355
AZC3J_18,0,15.4516134023139,23.45,0.00057632873387586,0.845256861531355
AZC3J_20,0,0.39421452569903,13.66,0.00017477904073583,0.845256861531355
AZC3J_25,0,0.683531177322353,8.8,7.28407145776e-06,0.845256861531355
AZC3J_26,0,0.268088278443919,15.35,0.00027320137066458,0.845256861531355
AZC3J_28,0,0.877278533037813,21.44,6.858622888348e-05,0.845256861531355
AZC3J_45,0,0.344827516731079,13.71,0.00069359207116215,0.845256861531355
AZC3J_49,0,1.78650805780523,15.25,0.0002746700093122,0.845256861531355
AZC3J_56,0,0.462861873941348,15.43,0.00016534064800959,0.845256861531355
AZC3J_57,0,0.375869854447623,3.02,5.341530456528e-05,0.845256861531355
AZC3J_59,0,0.530493638094631,13.07,0.00012464461699559,0.845256861531355
AZC3J_61,0,0.253268928535252,16.16,0.00066191703062778,0.845256861531355
AZC3J_64,0,1.44255847990915,14.69,0.00040931237912475,0.845256861531355
AZC3J_71,0,0.313733082303212,3.48,0.00010533189782684,0.845256861531355
AZC3J_73,0,0.268538264672634,15.02,0.00172825468003291,0.845256861531355
AZC3J_77,0,0.290192321229549,16.6,0.00146618548283511,0.845256861531355
