focal,PC1,PC2,sample_id
AZC5T_119,-0.14574590036418006,-0.04862518816163608,T
AZC7E_22,-0.13890837958925642,-0.013538834171168742,T
AZC7E_29,-0.12433789416720274,-0.04532406920178967,T
AZC7E_45,0.030809951708909294,-0.07767305096432153,T
AZC7E_47,-0.11018168465266767,0.019260763565410795,T
AZC7E_52,-0.13891488119726086,-0.013554476624154396,T
AZC7E_55,-0.15454150419456233,-0.04793694970169826,T
AZC7E_57,-0.13921103429870513,-0.0157457925325015,T
AZC7E_69,-0.1007368208961992,-0.03497979106175261,T
AZC7E_71,-0.15234962602361254,-0.038427280565097546,T
AZC7E_72,-0.145933452242317,0.003311884952665665,T
AZC7E_73,-0.13780661825041146,-0.025821986728686373,T
AZC7E_81,-0.15287629459750046,-0.012282187190241912,T
AZC7E_90,-0.15069500577093237,-0.04673317986326859,T
AZC7E_96,-0.1446537393459002,-0.031123178002020642,T
AZC7E_111,-0.14443782091767002,-0.0409942640563523,T
AZC7E_114,-0.14511550863598752,-0.04173844958678756,T
AZC7E_117,-0.15134051640538668,-0.04481049545628621,T
AZC9C_18,0.538882746962748,0.045027933665013516,T
AZC9C_34,-0.13783043995475636,-0.04864517072358789,T
AZC9C_58,-0.15315941308711845,-0.047902936277296734,T
AZC9C_60,-0.1445346988631087,-0.008123652712272746,T
AZC9C_71,-0.1363331482803063,-0.01712371330220834,T
AZC9C_75,-0.1384237577454453,-0.027278922068440566,T
AZC9C_86,-0.1538609211719957,-0.046685442467387615,T
AZC9C_93,-0.1534496166664256,-0.046539462871008117,T
AZC9C_98,-0.1546194901540387,-0.04802096136686678,T
AZC3J_3,-0.1502793638033091,-0.04845188338080408,C
AZC3J_18,-0.123285560342678,-0.03268150330828008,C
AZC3J_28,-0.15361571822755674,-0.04758473704842419,C
AZC3J_34,-0.14632973298736815,-0.04448312894661334,C
AZC3J_55,-0.14941354558357092,-0.04703490881094424,C
AZC3J_64,-0.15087408008384945,-0.04749408518043584,C
AZC3J_73,-0.15336430797259584,-0.046295263454413885,C
AZC3J_74,-0.15419285525511636,-0.038244293283415935,C
AZC3J_76,-0.12480943817368594,-0.026935611216111034,C
AZC3J_79,-0.15119999956471994,-0.04786408852939255,C
AZC3J_81,-0.15423050541050048,-0.04790888282413785,C
AZC3J_87,-0.04151305172291218,-0.045155246731494986,C
AZC3J_91,-0.15230693967115944,-0.04743984368700919,C
AZC3J_99,-0.1507060158275344,-0.04684517407430959,C
AZC5T_8,-0.15152503741690265,-0.04518201248103895,C
AZC5T_14,-0.15142307669246566,-0.0453746085255035,C
AZC5T_19,-0.1268615694034621,-0.03957732688772914,C
AZC5T_22,-0.15374692145644786,-0.047591165913484786,C
AZC5T_30,-0.15374141720177395,-0.047491293871982955,C
AZC5T_37,-0.13108660935584082,-0.040719676673748775,C
AZC5T_38,-0.15399191036767232,-0.047133750080096674,C
AZC5T_44,-0.10324451600091883,-0.042072512310879655,C
AZC5T_57,-0.1519083624799396,-0.042010114563053674,C
AZC5T_64,-0.13527181725623136,-0.037984802258327316,C
AZC5T_66,-0.11781340233192435,-0.03500512863071511,C
AZC5T_68,-0.13185850884317535,-0.04950090806892861,C
AZC5T_69,-0.15109343595480237,-0.044301709299119675,C
AZC5T_78,-0.14413733174043034,-0.044323614136091,C
AZC5T_80,-0.1235444143834673,-0.04550746125891518,C
AZC5T_85,-0.15183566693342268,-0.04525449400101454,C
AZC5T_87,-0.15067661209996205,-0.04783982676066428,C
AZC5T_93,-0.12262623445491935,-0.032353130781002146,C
AZC5T_94,-0.1118713073503646,-0.026637064072116606,C
AZC5T_97,4.705104492093242,-0.6828308549281522,C
AZC5T_98,-0.1501936924417715,-0.04711692315763208,C
AZC5T_104,-0.15356512849723641,-0.043149775532760205,C
AZC5T_107,-0.11871346633208067,-0.02564885994928999,C
AZC5T_109,-0.14334834749897343,-0.0493850049576695,C
AZC5T_119,-0.14955224677000195,-0.048520064378327725,C
AZC5T_120,-0.15335963922217102,-0.04768584930628097,C
AZC5T_122,-0.15338005179301248,-0.04634200701754139,C
AZC7E_12,-0.1501365342675676,-0.04066616051623333,C
AZC7E_15,-0.09859939826454454,0.002147664728209188,C
AZC7E_16,-0.14938802244995447,-0.04702995498233366,C
AZC7E_25,-0.15452754063559906,-0.04151879239564058,C
