taxon,shannon_diversity,sample_id
AZC9C_108,2.351886347058405,J
AZC9C_110,2.399167434070847,J
AZC9C_115,2.3212937628604804,J
AZC3J_1,2.559587973086927,T
AZC3J_2,2.4047370201055354,T
AZC3J_6,2.5857740798296254,T
AZC3J_10,2.2966285717868997,T
AZC3J_18,2.182606341868634,T
AZC3J_26,2.3119080308914532,T
AZC3J_34,2.0431464031666158,T
AZC3J_45,2.514487507970777,T
AZC3J_62,2.4451385690196012,T
AZC3J_63,2.0363423655367243,T
AZC3J_70,2.1566189246209797,T
AZC3J_71,2.3164908990476416,T
AZC3J_81,2.0717571302447073,T
AZC3J_92,1.9325398598169574,T
AZC3J_95,2.121248679456762,T
AZC3J_99,2.3289082684209026,T
AZC5T_1,2.4326045323007546,T
AZC5T_4,2.1878304204931207,T
AZC5T_12,2.155189837473926,T
AZC5T_24,2.4649358463015956,T
AZC5T_30,2.1687877895185754,T
AZC5T_34,2.319757893185688,T
AZC5T_47,2.084439792119735,T
AZC5T_49,2.290186216388718,T
AZC5T_51,2.4193773868481925,T
AZC5T_53,2.28484279757949,T
AZC5T_58,2.498305892450742,T
AZC5T_61,2.49335929000377,T
AZC5T_63,2.2743893294256434,T
AZC5T_64,2.182243697770706,T
AZC5T_65,2.4837758193635064,T
AZC5T_66,2.313184092955755,T
AZC5T_71,2.5265304949136658,T
AZC5T_79,2.032591952053316,T
AZC5T_80,1.9980772503980122,T
AZC5T_85,2.3359963115073583,T
AZC5T_90,2.291216587149557,T
AZC5T_93,2.121980674371653,T
AZC5T_99,2.240609687533447,T
AZC5T_104,1.930647999721579,T
AZC5T_111,2.164834137303991,T
AZC5T_115,2.045681771527618,T
AZC5T_119,2.4212913721153697,T
AZC7E_22,2.319787062776245,T
AZC7E_29,2.1073908425561294,T
AZC7E_45,1.77682313545801,T
AZC7E_47,2.230175907594818,T
AZC7E_52,2.319784352596016,T
AZC7E_55,2.4762989894484884,T
AZC7E_57,2.048469086598349,T
AZC7E_69,1.4136187955925283,T
AZC7E_71,2.2010736515085547,T
AZC7E_72,2.0556879119062637,T
AZC7E_73,2.147685512010658,T
AZC7E_81,2.141057347619922,T
AZC7E_90,2.4181571501993693,T
AZC7E_96,2.310356325503383,T
AZC7E_111,2.2886184270849323,T
AZC7E_114,2.2819912767711705,T
AZC7E_117,2.266378341393626,T
AZC9C_18,2.0090951492103764,T
AZC9C_34,1.8856975010150236,T
AZC9C_58,2.341594423111362,T
AZC9C_60,2.2114521205754913,T
AZC9C_71,2.236465130525323,T
AZC9C_75,2.1941431695361437,T
AZC9C_86,2.0478462678058773,T
AZC9C_93,2.386424238516555,T
AZC9C_98,2.233422745107518,T
AZC3J_3,2.634864444638827,C
AZC3J_18,1.9102824116726902,C
AZC3J_28,2.324725427822819,C
AZC3J_34,2.096754847506587,C
AZC3J_55,2.3234034231102,C
AZC3J_64,2.0774130182200636,C
AZC3J_73,2.645752295352481,C
AZC3J_74,2.101487172828942,C
AZC3J_76,2.0554220981574622,C
AZC3J_79,2.7297689929897544,C
AZC3J_81,2.5026653165483035,C
AZC3J_87,2.3144635128179423,C
AZC3J_91,2.6202645476571247,C
AZC3J_99,2.4382509162225174,C
AZC5T_8,2.143131982096458,C
AZC5T_14,2.5382158696058186,C
AZC5T_19,1.8748086851214898,C
AZC5T_22,2.324802019560469,C
AZC5T_30,2.6170660200246494,C
AZC5T_37,2.1877189115465328,C
AZC5T_38,2.3050503592134834,C
AZC5T_44,2.58551469789736,C
AZC5T_57,2.4596931107828097,C
AZC5T_64,2.134394169602623,C
AZC5T_66,2.2839111432994703,C
AZC5T_68,2.45461439002658,C
AZC5T_69,2.0569719639102644,C
AZC5T_78,2.3859872905938926,C
AZC5T_80,2.26748542477062,C
AZC5T_85,2.139000663369595,C
AZC5T_87,2.742567831782484,C
AZC5T_93,1.9059564101514272,C
AZC5T_94,1.9026356540898801,C
AZC5T_97,1.9604712735480327,C
AZC5T_98,2.302370585336126,C
AZC5T_104,2.001097235986168,C
AZC5T_107,2.0509388611871797,C
AZC5T_109,2.1476430640294604,C
AZC5T_119,2.62956684343412,C
AZC5T_120,2.2685392250227747,C
AZC5T_122,2.584495127884149,C
AZC7E_12,2.0835909640359667,C
AZC7E_15,2.1840503228410304,C
AZC7E_16,2.3235562426374683,C
AZC7E_25,2.149016335970143,C
AZC7E_29,2.119534987775408,C
AZC7E_39,1.86004097169183,C
AZC7E_45,1.768934164525426,C
AZC7E_51,2.5349964833383263,C
AZC7E_54,2.211575030605063,C
AZC7E_57,2.0847304758289296,C
AZC7E_59,2.582435124316923,C
AZC7E_60,2.1586784770828293,C
AZC7E_61,2.0535460799333505,C
AZC7E_64,2.2831212523069166,C
AZC7E_69,2.242311529273336,C
AZC7E_70,2.177585450179159,C
AZC7E_73,2.0617859428441703,C
AZC7E_77,2.225989368935334,C
AZC7E_82,2.2583357510074276,C
AZC7E_89,2.2618644967273154,C
AZC7E_96,2.279159941210686,C
AZC7E_109,2.2877259327253903,C
AZC7E_114,2.3384976577523275,C
AZC9C_6,1.9409409523710313,C
AZC9C_7,2.1532611255822447,C
AZC9C_18,1.962672996397321,C
AZC9C_29,1.808607240359639,C
AZC9C_32,2.1338577872687985,C
AZC9C_40,2.322995408591539,C
AZC9C_53,1.3544334102723665,C
AZC9C_54,1.8751048155943137,C
AZC9C_61,2.2933434740829868,C
AZC9C_68,2.3771858323457176,C
AZC9C_71,1.9224781217129012,C
AZC9C_75,1.9219161930891424,C
AZC9C_86,2.0595777226491925,C
AZC9C_93,2.4380365928564256,C
AZC9C_95,2.1822081778165687,C
AZC9C_96,2.5183378193336248,C
AZC9C_98,2.2259886699799507,C
AZC9C_106,1.995029589901816,C
