taxon,growth_rate,degree.centrality,distance,independence,mean_d0_abundance,diversity_ratio,log_fold_change,colonization_binary
AZC5T_98,0.03116007577739,2.87142857142857,0.44157192907893,8.38,4.99979100224e-06,0.845256861531355,1.29569035867078,0
AZC5T_115,0.0856619068500705,2.37142857142857,1.5585750276019,15.39,4.59523650459e-06,0.845256861531355,-0.309804183046898,0
AZC7E_16,0.0278004856011207,3.1,0.402146638859147,8.68,2.618202322307e-05,0.845256861531355,-0.00125859236264527,0
AZC7E_29,0.0214759497697347,3.75714285714286,0.602656499655331,17.54,0.0003140927107098,0.845256861531355,-0.0936138462292005,0
AZC7E_45,0.0486669720582488,2.14285714285714,0.91417701140609,15.88,0.00026458044893378,0.845256861531355,-0.0988947635096322,0
AZC7E_47,0.0950101438239332,3.11428571428571,1.64970769525581,2,0.00047412315087536,0.845256861531355,-1.26887801007416,0
AZC7E_69,0.0852458807728149,4.1,1.61381848924082,16.71,0.00072029698001099,0.845256861531355,-0.572737239195196,0
AZC7E_74,0.0279233655469979,4.22857142857143,0.464191932069477,17.53,0.00018299329575081,0.845256861531355,0.250711780111119,0
AZC9C_30,0.0146651276704051,3.1,0.305653720301628,3.26,1.751639533594e-05,0.845256861531355,-0.451414607162147,0
AZC9C_60,0.0140092664617247,4.05714285714286,0.295460310123244,10.3,6.076056658526e-05,0.845256861531355,-0.521900083007076,0
AZC9C_69,0.0783070323314893,6.31428571428571,1.69875356218765,10.78,2.48590442308e-06,0.845256861531355,0.911168847572128,0
AZC9C_80,0.0165275039703632,1.78571428571429,0.25485206503416,9.47,0.00108705855716053,0.845256861531355,0.40019116671172,0
AZC9C_81,0.0166623648563265,2.61428571428571,0.314701337706552,14.89,0.00145839801559875,0.845256861531355,-0.171448822831161,0
AZC9C_91,0.0208470220967678,2.85714285714286,0.34806560727005,16.99,0.0005564273658978,0.845256861531355,0.384760932629719,0
AZC9C_96,0.0260267520245254,4.02857142857143,0.384366714932274,3.02,0.00011645884504355,0.845256861531355,-0.671775162744862,0
AZC9C_108,0.0414997092425695,3.85714285714286,0.471544499165687,14.46,0.00035957125172636,0.845256861531355,0.693980961829157,0
AZC9C_110,0.0407588893243539,4.18571428571429,0.532811038277131,16.2,8.672763890306e-05,0.845256861531355,0.034279388167656,0
AZC9C_115,0.0229063904315643,2.47142857142857,0.361079270919893,3.36,4.289401318878e-05,0.845256861531355,-0.575404963400275,0
AZC3J_2,0.0202827444717828,1.69565217391304,0.252066174703996,17.11,0.00044603938937168,1.03140581272381,0.329167323358781,0
AZC3J_10,0.0236853021486562,4.07246376811594,0.76547404651276,17.08,0.00029247938133943,1.03140581272381,-0.0444128359598014,0
AZC3J_62,0.245020186223986,5.04347826086957,6.81767144165005,22.18,0.00055823161499338,1.03140581272381,-0.264660801239257,0
AZC3J_63,0.0189624894426245,1.42028985507246,0.300298563896743,12.82,0.00036618485053587,1.03140581272381,0.706562517712983,0
AZC3J_70,0.023307047020688,4.15942028985507,3.07938349797155,11.71,0.00079362038872623,1.03140581272381,0.108390005640489,0
AZC3J_92,0.0174065572767638,4.07246376811594,1.26718217436841,15.68,0.00039808057514334,1.03140581272381,-0.267093318922754,0
AZC5T_1,0.11110849906389,2.44927536231884,3.51870548239482,16.71,0.00016001033031401,1.03140581272381,-0.330313763099309,0
AZC5T_4,0.0517384498899834,3.15942028985507,1.64670690045486,9.28,0.00037018921127071,1.03140581272381,0.288648048763733,0
AZC5T_12,0.143933283480982,3.10144927536232,3.78520890920411,20.98,0.00050142695736759,1.03140581272381,-0.391718745235431,0
AZC5T_24,0.01877956004472,3.17391304347826,0.337136718142939,14.34,0.00014522229889322,1.03140581272381,0.00731295930645721,0
