focal,PC1,PC2,PC3,sample_id
AZC7E_77,-0.3382534894051707,-0.009390485701455112,-0.0753318662323923,C
AZC7E_82,-0.33967399156049194,-0.01615031651222795,-0.07945839127081211,C
AZC7E_89,0.019974238162862538,-0.498522062566323,0.6649545699625182,C
AZC7E_96,-0.2853091813304118,0.08279115688285359,0.2438035110089838,C
AZC7E_109,-0.3336066525891576,-0.003898407333609096,-0.052032831288241155,C
AZC7E_114,-0.3375187933979948,-0.01052503798423947,-0.07071342840983788,C
AZC3J_21,-0.12875764858390024,-0.05926900603346333,0.019757152573393166,E
AZC3J_32,-0.12247078044403976,0.037598353298368456,-0.08942560962034223,E
AZC3J_34,-0.11983125080517983,-0.04511979502633178,0.010019328555307067,E
AZC3J_43,-0.12685673591815003,-0.049731208974323864,0.018641145032293516,E
AZC3J_55,-0.12634318949287143,-0.05361572585537274,0.02066423488519954,E
AZC3J_58,-0.08649353385501206,-0.032170494858377065,0.035353195127980436,E
AZC3J_74,-0.04937945210499759,0.39856037011073153,-0.44573927555234016,E
AZC3J_76,-0.12857709314641347,-0.05911550396471692,0.019954549816194395,E
AZC3J_79,-0.11677142432923797,-0.04003166427046211,0.023037772600463156,E
AZC3J_81,-0.1274694394994651,-0.05704428377017352,0.01863495481025468,E
AZC3J_88,-0.12347972279370535,-0.0492583038225941,0.014917852800907353,E
AZC3J_90,-0.11961327441252537,0.024640404559521975,-0.06944844102899886,E
AZC3J_91,-0.12886006618541176,-0.05824858435047412,0.01859327232203047,E
AZC5T_8,-0.1117388473661999,-0.0330617769045862,0.0019501183821292116,E
AZC5T_9,-0.12682677749991564,-0.05189088089240763,0.014309336471902091,E
AZC5T_21,-0.1295996557657443,-0.06072480078735556,0.020442182065063746,E
AZC5T_32,-0.12774418999948822,-0.057289651804710975,0.019257303574926783,E
AZC5T_34,-0.12987705537530547,-0.04448523081001281,0.0011373890266425947,E
AZC5T_39,-0.12522085207058717,-0.055043394481773165,0.024666473375871772,E
AZC5T_41,-0.12817780148671357,-0.05866043503794791,0.019706099835986823,E
AZC5T_51,-0.1259408930469861,-0.050795020114445116,0.022109276275434787,E
AZC5T_66,-0.11567867176045094,-0.0474079517060979,0.014384306481587245,E
AZC5T_68,-0.12474611166915293,-0.051923874253929796,0.01928565326828977,E
AZC5T_69,-0.1282675565132837,-0.0536700935549117,0.024607816621083686,E
AZC5T_78,-0.12263679398475659,-0.03275480554781166,0.0270697478787025,E
AZC5T_85,-0.10468493291098442,-0.021706564188253796,-0.004686022400348817,E
AZC5T_93,-0.10610154539597255,-0.025984061764891254,0.013568395235338636,E
AZC5T_94,-0.1283651596327644,-0.05724556803587143,0.02043299553917267,E
AZC5T_97,-0.09111277737375331,-0.05650360449459023,0.019953354514613785,E
AZC5T_104,-0.10080284329498826,0.11758337129225917,0.06347530195216416,E
AZC5T_106,-0.12245750210708145,0.03988880951961524,-0.08689742199399324,E
AZC5T_107,-0.12120878282864202,-0.0461270591555496,0.014203613087015725,E
AZC5T_108,-0.12706384553939187,-0.05681707241134589,0.018873288024046416,E
AZC5T_109,0.9659587952814264,-0.10418971038715183,0.09167854001644299,E
AZC5T_120,0.2473203768916219,0.7862697655269196,0.6783783805284739,E
AZC9C_6,0.5173868158177033,-0.049756423655598445,0.011426676461542724,E
AZC9C_7,2.2943129373106577,-0.03384737700098165,-0.13119136641685164,E
AZC9C_14,0.0005496899705964268,-0.02165664898226092,0.07718553605152018,E
AZC9C_25,-0.1265443386568143,-0.0556105509469711,0.01845407216536813,E
AZC9C_27,-0.12539778650772646,-0.048091008977860006,0.01188457707559822,E
AZC9C_29,-0.022858170705820514,-0.030837876164110187,0.039277222074139806,E
AZC9C_34,-0.09230830630438294,-0.038295852442790525,0.02579610321466306,E
AZC9C_40,-0.12754450236462064,-0.01922890698643357,-0.02522642254228089,E
AZC9C_57,-0.12518633990912406,-0.05499275390668107,0.02467756227055608,E
AZC9C_68,1.4006954274999588,-0.07333771237730156,0.0006788142381686836,E
AZC9C_71,-0.10506459882277193,-0.014437051770407109,0.018793410291578275,E
AZC9C_88,-0.1009011587557187,0.2622334893433275,-0.2752242691960691,E
AZC9C_93,-0.12621220270038655,-0.053255421484648076,0.01592735030677522,E
AZC9C_98,-0.12944041118237662,-0.05546971987588803,0.01843996693239106,E
AZC9C_102,-0.11949518095698966,-0.04461567535041114,0.009698632203341719,E
AZC9C_106,-0.08530536643285362,0.45166596892218025,-0.5349649295071507,E
AZC9C_113,-0.11988885145920226,-0.050833960672200536,0.02508388244088314,E
AZC9C_116,-0.11692062082010189,-0.004287464718445241,0.03641692185293691,E
