taxon,sample_id,tolerance,reaction,flux,abundance,metabolite,direction
AZC3J_1,J,1e-06,EX_pyovd_kt_e,4.457108903200231e-06,0.0046830639244406,pyovd_kt_e,export
AZC3J_1,J,1e-06,EX_nmn_e,-0.1137985147877206,0.0046830639244406,nmn_e,import
AZC3J_1,J,1e-06,EX_bz_e,-3.251604992025764e-06,0.0046830639244406,bz_e,import
AZC3J_1,J,1e-06,EX_fuc__L_e,-1.3493909410480888e-06,0.0046830639244406,fuc__L_e,import
AZC3J_1,J,1e-06,EX_glu__L_e,-1.026229835383242e-06,0.0046830639244406,glu__L_e,import
AZC3J_1,J,1e-06,EX_mn2_e,-2.103810148542448e-05,0.0046830639244406,mn2_e,import
AZC3J_1,J,1e-06,EX_gly_e,-0.0178692535207216,0.0046830639244406,gly_e,import
AZC3J_1,J,1e-06,EX_lys__L_e,-0.0104435070985641,0.0046830639244406,lys__L_e,import
AZC3J_1,J,1e-06,EX_met__L_e,-0.0135051554037469,0.0046830639244406,met__L_e,import
AZC3J_1,J,1e-06,EX_no2_e,-3.1999103635386965e-06,0.0046830639244406,no2_e,import
AZC3J_1,J,1e-06,EX_ppap_e,0.0533450291823108,0.0046830639244406,ppap_e,export
AZC3J_1,J,1e-06,EX_so4_e,-1.3111800182579916e-06,0.0046830639244406,so4_e,import
AZC3J_1,J,1e-06,EX_4abut_e,-1.0007360358730705e-06,0.0046830639244406,4abut_e,import
AZC3J_1,J,1e-06,EX_his__L_e,-0.0028843796699854,0.0046830639244406,his__L_e,import
AZC3J_1,J,1e-06,EX_etoh_e,2.9256385129316214e-06,0.0046830639244406,etoh_e,export
AZC3J_1,J,1e-06,EX_mnl1p_e,0.0001217171533979,0.0046830639244406,mnl1p_e,export
AZC3J_1,J,1e-06,EX_12ppd__S_e,-0.0533396841678604,0.0046830639244406,12ppd__S_e,import
AZC3J_1,J,1e-06,EX_tet_e,-2.279368179293414e-05,0.0046830639244406,tet_e,import
AZC3J_1,J,1e-06,EX_tsul_e,4.55903901514843e-05,0.0046830639244406,tsul_e,export
