taxon,average_distance,comparison,sample_id
679935,6.811987395425698,D-2 vs 12-0,D-2
702443,10.10452891326781,D-2 vs 12-0,D-2
702444,6.05492193480152,D-2 vs 12-0,D-2
702447,6.601958745436003,D-2 vs 12-0,D-2
709991,8.282148545515234,D-2 vs 12-0,D-2
717959,11.509170234701397,D-2 vs 12-0,D-2
717960,3.40189129234732,D-2 vs 12-0,D-2
717962,5.357936133226744,D-2 vs 12-0,D-2
718252,9.411688043561616,D-2 vs 12-0,D-2
742726,8.547966387492128,D-2 vs 12-0,D-2
742727,6.405460225257966,D-2 vs 12-0,D-2
742733,5.601147648778427,D-2 vs 12-0,D-2
742740,3.3397513102946887,D-2 vs 12-0,D-2
742741,3.8108977957476142,D-2 vs 12-0,D-2
742817,5.185319767800364,D-2 vs 12-0,D-2
742821,3.186830074935916,D-2 vs 12-0,D-2
748224,13.864380279728664,D-2 vs 12-0,D-2
762968,6.019987894845175,D-2 vs 12-0,D-2
762982,12.617318047921874,D-2 vs 12-0,D-2
762984,7.444382473045114,D-2 vs 12-0,D-2
763034,5.338701788291611,D-2 vs 12-0,D-2
818,6.709805952561385,D-2 vs 12-0,D-2
862962,5.0505012006594185,D-2 vs 12-0,D-2
862965,10.29259908119765,D-2 vs 12-0,D-2
866776,3.242612159024957,D-2 vs 12-0,D-2
868129,3.041854045896411,D-2 vs 12-0,D-2
888048,4.265315451716886,D-2 vs 12-0,D-2
997884,11.024450265864452,D-2 vs 12-0,D-2
999410,3.491785901029909,D-2 vs 12-0,D-2
1002367,6.425804358099903,D-3 vs 16-0,D-3
1077285,13.63660239006945,D-3 vs 16-0,D-3
1121097,2.6787709554614336,D-3 vs 16-0,D-3
1121100,13.082706678083309,D-3 vs 16-0,D-3
1121101,4.428423750871635,D-3 vs 16-0,D-3
1121115,6.646917598254349,D-3 vs 16-0,D-3
1121130,9.006443276576913,D-3 vs 16-0,D-3
1122975,2.9100805438782307,D-3 vs 16-0,D-3
1122981,2.6759762307263237,D-3 vs 16-0,D-3
1122992,4.387390260873344,D-3 vs 16-0,D-3
1160721,15.206398603332175,D-3 vs 16-0,D-3
1203465,4.289566577876303,D-3 vs 16-0,D-3
1203606,3.007793893356025,D-3 vs 16-0,D-3
1203610,4.294091885514789,D-3 vs 16-0,D-3
1203611,11.054909038110775,D-3 vs 16-0,D-3
1235789,4.367750388029918,D-3 vs 16-0,D-3
1256908,5.573650767641865,D-3 vs 16-0,D-3
1282887,3.4254224874880683,D-3 vs 16-0,D-3
1322347,3.755096570111635,D-3 vs 16-0,D-3
1408437,3.7621529221005523,D-3 vs 16-0,D-3
1410647,3.0796051920566057,D-3 vs 16-0,D-3
1437612,7.61778355255687,D-3 vs 16-0,D-3
213810,2.788077303465026,D-3 vs 16-0,D-3
226186,8.854208186178415,D-3 vs 16-0,D-3
272559,4.7092547830161235,D-3 vs 16-0,D-3
295405,6.1836311280850165,D-3 vs 16-0,D-3
347253,7.27940492424756,D-3 vs 16-0,D-3
364106,4.469440527761539,D-3 vs 16-0,D-3
367928,6.4889136621619645,D-3 vs 16-0,D-3
411459,4.087807776839376,D-3 vs 16-0,D-3
411460,3.757429790254573,D-3 vs 16-0,D-3
411461,7.614033094813173,D-3 vs 16-0,D-3
411462,7.3155539635403155,D-3 vs 16-0,D-3
411463,11.462323127306197,D-3 vs 16-0,D-3
411467,4.705488041966405,D-3 vs 16-0,D-3
411468,3.374438827593429,D-3 vs 16-0,D-3
411469,3.9940152966327913,D-3 vs 16-0,D-3
411470,4.6909211629988254,D-3 vs 16-0,D-3
411471,5.738071925520499,D-3 vs 16-0,D-3
411473,3.5602836902010515,D-3 vs 16-0,D-3
411474,2.514795557459201,D-3 vs 16-0,D-3
411475,8.155305467260288,D-3 vs 16-0,D-3
411476,12.394192021814142,D-3 vs 16-0,D-3
411477,14.260511200999826,D-3 vs 16-0,D-3
411479,11.688169966694897,D-3 vs 16-0,D-3
411483,9.34102749815646,D-3 vs 16-0,D-3
411484,4.981775736522763,D-3 vs 16-0,D-3
411485,8.387710496750858,D-3 vs 16-0,D-3
411486,7.1035872129672155,D-3 vs 16-0,D-3
411487,3.5517829264450547,D-3 vs 16-0,D-3
411489,6.071046328187528,D-3 vs 16-0,D-3
411901,9.95500843127027,D-3 vs 16-0,D-3
411902,5.411988572642443,D-3 vs 16-0,D-3
411903,4.975933161443467,D-3 vs 16-0,D-3
428125,3.362770328318124,D-3 vs 16-0,D-3
428127,2.645888046171996,D-3 vs 16-0,D-3
428128,3.9290887388018505,D-3 vs 16-0,D-3
435590,16.769110011210273,D-3 vs 16-0,D-3
435591,7.775143607181668,D-3 vs 16-0,D-3
445970,12.163949802876697,D-3 vs 16-0,D-3
445972,4.043672264706296,D-3 vs 16-0,D-3
445973,3.566052675098476,D-3 vs 16-0,D-3
449673,11.54411137387157,D-3 vs 16-0,D-3
450749,2.6270342285353125,D-3 vs 16-0,D-3
457387,6.584315435359555,D-3 vs 16-0,D-3
457388,8.526491705751207,D-3 vs 16-0,D-3
457390,8.711075467907374,D-3 vs 16-0,D-3
457391,8.469126035378261,D-3 vs 16-0,D-3
457392,4.218062231662798,D-3 vs 16-0,D-3
457393,9.459412396598182,D-3 vs 16-0,D-3
457394,9.603033164150963,D-3 vs 16-0,D-3
457395,8.43160012233028,D-3 vs 16-0,D-3
457412,5.873242665247703,D-3 vs 16-0,D-3
457416,2.6372842723209597,D-3 vs 16-0,D-3
457421,2.950588933389768,D-3 vs 16-0,D-3
457424,10.329575769047798,D-3 vs 16-0,D-3
469585,7.232611451694358,D-3 vs 16-0,D-3
469588,7.190257744247011,D-3 vs 16-0,D-3
469589,7.486383463339598,D-3 vs 16-0,D-3
469590,9.959831437313982,D-3 vs 16-0,D-3
469591,6.469095354792591,D-3 vs 16-0,D-3
469592,6.581850134339975,D-3 vs 16-0,D-3
469593,9.897625759585674,D-3 vs 16-0,D-3
469596,2.6789401811610807,D-3 vs 16-0,D-3
470145,13.163436923953004,D-3 vs 16-0,D-3
470146,5.2683660815937206,D-3 vs 16-0,D-3
471870,6.877095719284189,D-3 vs 16-0,D-3
471875,7.093362514603567,D-3 vs 16-0,D-3
476272,3.6970612502881166,D-3 vs 16-0,D-3
479436,2.5791814249899065,D-3 vs 16-0,D-3
483215,7.88756820160696,D-3 vs 16-0,D-3
483216,12.020518877021328,D-3 vs 16-0,D-3
483217,9.829490759356267,D-3 vs 16-0,D-3
483218,3.9583485595417414,D-3 vs 16-0,D-3
484018,11.175789930798185,D-3 vs 16-0,D-3
500632,3.4187549960503163,D-3 vs 16-0,D-3
511680,3.7901432082849205,D-3 vs 16-0,D-3
515619,6.981257275520107,D-3 vs 16-0,D-3
515620,15.065723888137091,D-3 vs 16-0,D-3
518636,4.961704174415362,D-3 vs 16-0,D-3
536231,12.687398018510475,D-3 vs 16-0,D-3
537006,7.552368925770166,D-3 vs 16-0,D-3
537007,4.225204395097458,D-3 vs 16-0,D-3
537011,6.4444252445905645,D-3 vs 16-0,D-3
537012,5.193240368672376,D-3 vs 16-0,D-3
545696,2.697822561579483,D-3 vs 16-0,D-3
546273,4.996202360023059,D-3 vs 16-0,D-3
547042,9.357262909857694,D-3 vs 16-0,D-3
548480,2.7843449235338595,D-3 vs 16-0,D-3
552396,2.7313833842745416,D-3 vs 16-0,D-3
552398,6.018812549122069,D-3 vs 16-0,D-3
556258,7.154305571304475,D-3 vs 16-0,D-3
556259,8.289848317131995,D-3 vs 16-0,D-3
556270,2.4680253870035593,D-3 vs 16-0,D-3
561,3.8312779094528984,D-3 vs 16-0,D-3
563192,9.841505412483302,D-3 vs 16-0,D-3
563193,6.159154278511651,D-3 vs 16-0,D-3
566550,3.028244274521582,D-3 vs 16-0,D-3
566552,4.184651401984206,D-3 vs 16-0,D-3
585394,5.976071079507419,D-3 vs 16-0,D-3
