taxon,D-15Fryst_vs_16-0,D-6Fresk_vs_78-0,D-14_vs_24-0,D-3_vs_22-0,D-2_vs_71-0,D-4_vs_37-0,D-10_vs_12-0,D-14_vs_19-0,D-5Fryst_vs_36-0,D-4_vs_56-0,D-9Fryst_vs_3-0,D-5Fryst_vs_12-0,D-6Fresk_vs_24-0,D-14_vs_78-0,D-10_vs_36-0,D-14_vs_3-0,D-15Fryst_vs_77-0,D-15Fryst_vs_32-0,D-6Fresk_vs_19-0,D-9Fryst_vs_23-0,D-15Fryst_vs_75-0,D-15Fryst_vs_30-0,D-15Fryst_vs_88-0,D-13U_vs_22-0,D-2_vs_12-0,D-4_vs_54-0,D-4_vs_11-0,D-7Fryst_vs_78-0,D-10_vs_71-0,D-9Fryst_vs_59-0,D-4_vs_70-0,D-2_vs_36-0,D-5Fryst_vs_71-0,D-12_vs_18-0,D-7Fryst_vs_19-0,D-7Fryst_vs_24-0,D-12_vs_25-0,D-5Fryst_vs_88-0,D-5Fryst_vs_75-0,D-5Fryst_vs_30-0,D-12_vs_59-0,D-2_vs_32-0,D-2_vs_77-0,D-4_vs_89-0,D-4_vs_31-0,D-3_vs_19-0,D-3_vs_24-0,D-14_vs_22-0,D-4_vs_90-0,D-15Fryst_vs_71-0,D-9Fryst_vs_25-0,D-10_vs_88-0,D-9Fryst_vs_18-0,D-6Fresk_vs_22-0,D-10_vs_30-0,D-10_vs_75-0,D-3_vs_78-0,D-2_vs_16-0,D-13U_vs_19-0,D-10_vs_32-0,D-10_vs_77-0,D-5Fryst_vs_16-0,D-15Fryst_vs_36-0,D-13U_vs_24-0,D-7Fryst_vs_22-0,D-15Fryst_vs_12-0,D-12_vs_23-0,D-5Fryst_vs_77-0,D-5Fryst_vs_32-0,D-10_vs_16-0,D-13U_vs_78-0,D-2_vs_88-0,D-4_vs_33-0,D-2_vs_30-0,D-2_vs_75-0,D-10_vs_70-0,D-5Fryst_vs_11-0,D-5Fryst_vs_54-0,D-12_vs_78-0,D-2_vs_56-0,D-15Fryst_vs_31-0,D-15Fryst_vs_89-0,D-13U_vs_23-0,D-7Fryst_vs_25-0,D-12_vs_24-0,D-5Fryst_vs_70-0,D-12_vs_19-0,D-10_vs_54-0,D-10_vs_11-0,D-7Fryst_vs_18-0,D-15Fryst_vs_90-0,D-3_vs_59-0,D-4_vs_71-0,D-2_vs_37-0,D-10_vs_56-0,D-14_vs_18-0,D-5Fryst_vs_37-0,D-2_vs_70-0,D-4_vs_36-0,D-3_vs_23-0,D-14_vs_25-0,D-15Fryst_vs_33-0,D-9Fryst_vs_22-0,D-6Fresk_vs_18-0,D-5Fryst_vs_56-0,D-6Fresk_vs_25-0,D-13U_vs_59-0,D-10_vs_37-0,D-4_vs_12-0,D-2_vs_54-0,D-2_vs_11-0,D-15Fryst_vs_37-0,D-6Fresk_vs_59-0,D-6Fresk_vs_3-0,D-13U_vs_25-0,D-2_vs_90-0,D-2_vs_3-0,D-4_vs_16-0,D-13U_vs_18-0,D-10_vs_33-0,D-2_vs_89-0,D-4_vs_32-0,D-4_vs_77-0,D-2_vs_31-0,D-5Fryst_vs_33-0,D-14_vs_59-0,D-7Fryst_vs_23-0,D-15Fryst_vs_56-0,D-12_vs_22-0,D-10_vs_90-0,D-15Fryst_vs_11-0,D-15Fryst_vs_54-0,D-14_vs_23-0,D-3_vs_25-0,D-2_vs_33-0,D-4_vs_88-0,D-3_vs_18-0,D-4_vs_30-0,D-4_vs_75-0,D-7Fryst_vs_59-0,D-5Fryst_vs_89-0,D-5Fryst_vs_31-0,D-9Fryst_vs_78-0,D-7Fryst_vs_3-0,D-10_vs_89-0,D-6Fresk_vs_23-0,D-9Fryst_vs_19-0,D-10_vs_31-0,D-5Fryst_vs_90-0,D-15Fryst_vs_70-0,D-9Fryst_vs_24-0,D-9Fryst_vs_90-0,D-6Fresk_vs_12-0,D-5Fryst_vs_24-0,D-4_vs_25-0,D-4_vs_18-0,D-3_vs_30-0,D-3_vs_75-0,D-3_vs_88-0,D-12_vs_70-0,D-5Fryst_vs_19-0,D-14_vs_36-0,D-10_vs_78-0,D-7Fryst_vs_71-0,D-13U_vs_16-0,D-13U_vs_77-0,D-10_vs_19-0,D-13U_vs_32-0,D-9Fryst_vs_89-0,D-14_vs_12-0,D-12_vs_11-0,D-9Fryst_vs_31-0,D-12_vs_54-0,D-5Fryst_vs_78-0,D-6Fresk_vs_36-0,D-10_vs_24-0,D-6Fresk_vs_71-0,D-3_vs_16-0,D-2_vs_78-0,D-9Fryst_vs_33-0,D-12_vs_56-0,D-13U_vs_88-0,D-15Fryst_vs_22-0,D-13U_vs_75-0,D-13U_vs_30-0,D-7Fryst_vs_12-0,D-2_vs_19-0,D-3_vs_32-0,D-3_vs_77-0,D-7Fryst_vs_36-0,D-14_vs_71-0,D-12_vs_37-0,D-10_vs_3-0,D-2_vs_24-0,D-14_vs_88-0,D-9Fryst_vs_56-0,D-12_vs_33-0,D-7Fryst_vs_77-0,D-7Fryst_vs_32-0,D-14_vs_75-0,D-14_vs_30-0,D-3_vs_36-0,D-4_vs_23-0,D-5Fryst_vs_22-0,D-6Fresk_vs_75-0,D-6Fresk_vs_30-0,D-10_vs_22-0,D-6Fresk_vs_88-0,D-13U_vs_71-0,D-7Fryst_vs_16-0,D-9Fryst_vs_37-0,D-3_vs_12-0,D-9Fryst_vs_70-0,D-15Fryst_vs_24-0,D-13U_vs_36-0,D-14_vs_16-0,D-13U_vs_3-0,D-12_vs_90-0,D-6Fresk_vs_77-0,D-6Fresk_vs_32-0,D-15Fryst_vs_19-0,D-2_vs_22-0,D-6Fresk_vs_16-0,D-15Fryst_vs_78-0,D-14_vs_77-0,D-14_vs_32-0,D-7Fryst_vs_75-0,D-13U_vs_12-0,D-7Fryst_vs_30-0,D-12_vs_89-0,D-9Fryst_vs_54-0,D-12_vs_31-0,D-9Fryst_vs_11-0,D-7Fryst_vs_88-0,D-4_vs_3-0,D-5Fryst_vs_3-0,D-4_vs_59-0,D-3_vs_71-0,D-9Fryst_vs_32-0,D-9Fryst_vs_77-0,D-12_vs_12-0,D-13U_vs_89-0,D-15Fryst_vs_23-0,D-3_vs_3-0,D-14_vs_11-0,D-14_vs_54-0,D-13U_vs_31-0,D-7Fryst_vs_56-0,D-6Fresk_vs_70-0,D-2_vs_25-0,D-6Fresk_vs_11-0,D-6Fresk_vs_54-0,D-13U_vs_90-0,D-7Fryst_vs_37-0,D-14_vs_70-0,D-9Fryst_vs_16-0,D-12_vs_36-0,D-2_vs_18-0,D-3_vs_33-0,D-12_vs_71-0,D-5Fryst_vs_18-0,D-14_vs_37-0,D-7Fryst_vs_70-0,D-3_vs_31-0,D-4_vs_19-0,D-3_vs_89-0,D-4_vs_24-0,D-12_vs_3-0,D-15Fryst_vs_3-0,D-6Fresk_vs_56-0,D-5Fryst_vs_25-0,D-3_vs_90-0,D-6Fresk_vs_37-0,D-15Fryst_vs_59-0,D-10_vs_25-0,D-7Fryst_vs_11-0,D-10_vs_18-0,D-13U_vs_33-0,D-7Fryst_vs_54-0,D-9Fryst_vs_88-0,D-14_vs_56-0,D-9Fryst_vs_30-0,D-9Fryst_vs_75-0,D-4_vs_78-0,D-6Fresk_vs_33-0,D-15Fryst_vs_18-0,D-7Fryst_vs_90-0,D-3_vs_54-0,D-3_vs_11-0,D-9Fryst_vs_71-0,D-15Fryst_vs_25-0,D-13U_vs_37-0,D-10_vs_59-0,D-3_vs_70-0,D-14_vs_33-0,D-7Fryst_vs_31-0,D-13U_vs_56-0,D-12_vs_88-0,D-12_vs_75-0,D-12_vs_30-0,D-7Fryst_vs_89-0,D-5Fryst_vs_59-0,D-2_vs_23-0,D-5Fryst_vs_23-0,D-4_vs_22-0,D-3_vs_37-0,D-2_vs_59-0,D-14_vs_89-0,D-9Fryst_vs_12-0,D-12_vs_77-0,D-12_vs_32-0,D-7Fryst_vs_33-0,D-13U_vs_11-0,D-13U_vs_54-0,D-6Fresk_vs_90-0,D-14_vs_31-0,D-3_vs_56-0,D-13U_vs_70-0,D-9Fryst_vs_36-0,D-12_vs_16-0,D-6Fresk_vs_31-0,D-14_vs_90-0,D-10_vs_23-0,D-6Fresk_vs_89-0
657309,21748,42826,28351,49814,28728,38211,11504,19964,42050,22528,40737,5296,42370,35471,71439,43024,20923,18572,25635,30282,27897,21651,38225,44411,4350,20904,17478,35925,66220,16411,20624,39033,49749,21675,8860,15728,36975,30332,7624,8740,23155,39495,6914,40678,24588,37546,34805,43664,57158,33408,31465,66506,13838,50719,46529,39934,45327,6794,50650,32271,18375,3826,48166,49168,42541,7060,28167,6060,37601,32933,31955,39938,94332,14206,17089,35205,15532,21256,45413,23155,33403,30363,58225,26166,39750,31665,20724,69281,16909,4600,36203,25143,41052,34517,63663,12449,38259,28938,39936,39706,31585,63474,42651,32254,23618,36289,30351,65539,4016,19752,19827,33606,20448,47671,64119,64204,49621,5312,11710,63334,36114,37720,7223,26919,93896,20379,25687,37549,53022,85163,11653,35705,36543,45237,95150,31777,28927,8373,7705,6330,44550,23933,37327,27823,55611,26735,22342,56827,66085,35733,28693,60154,6562,27025,33493,13741,27335,22215,50300,32399,19291,50505,37391,26932,29262,25988,67644,31424,33596,4149,9697,23287,42374,35136,43326,41062,47246,19283,35593,85090,39694,58529,43588,15478,19941,4566,15845,41318,18234,47532,36158,33631,82274,28756,41647,18489,103904,8830,17426,16621,15236,56048,36342,43922,25847,19619,48291,44513,42517,4033,45216,6701,32778,39914,62732,13010,45330,68338,28197,18572,21354,42849,15571,37848,18180,38563,11988,13484,11391,24644,19220,36082,18394,25162,35088,45632,18653,49723,21343,17014,6452,55730,30501,82317,18842,20233,42737,17375,31838,31460,11012,36908,93352,31753,30157,25161,44295,11784,55762,41519,13151,39800,18112,41112,16452,40502,28870,39281,54754,33106,35094,90780,30521,21226,56454,11774,24167,76935,24069,42842,23179,17054,17745,38820,47250,21092,40485,38570,11744,29133,37427,62158,31454,35300,95712,13941,28805,45146,23248,24540,39047,17933,37168,34859,43664,49219,20784,46696,3390,26332,30753,69053,17495,48912,64825,21382,37943,27159,45149,16271,33063,65727,38356,28051
657313,16070,69847,49014,86358,52689,35851,28399,18487,29299,61066,0,26596,31557,55376,27132,35154,32256,43391,81116,0,39793,28439,19855,71067,25251,35642,34697,64171,39029,0,16936,29413,62741,9660,32005,49850,41835,20848,42643,24972,24484,60642,35196,14671,44545,38528,42903,65930,19695,46529,0,18779,0,92165,26264,51905,63847,50088,30212,48774,30560,53245,27223,39314,64252,33639,17997,36616,74445,18027,54733,22242,29991,33757,54015,30801,39106,36285,79209,39423,35764,39916,26042,44056,37435,36675,29605,25656,88659,12520,7882,36576,27857,41856,36014,7552,31301,33397,28675,18545,59380,13932,0,11948,48270,36072,34619,15847,34265,33438,9673,15138,29047,27074,44304,22891,36611,69954,7815,20226,29934,73152,45285,39117,32965,19243,21188,40598,78535,21352,91474,30817,24430,30865,32594,15563,9385,27344,53074,31436,26001,40095,0,24940,40241,22781,0,22268,22490,28328,0,0,29089,67833,53194,15843,29424,48886,19478,22539,25992,23368,68452,38952,49172,33871,39121,61259,0,20706,92988,0,24443,65102,30686,28061,40297,17712,61142,0,58873,24044,81411,58484,20005,29420,28271,48921,30140,33116,51465,88408,28405,48617,18171,0,32126,42097,73349,64333,33303,25527,19277,68022,53047,25199,88789,12781,51923,164343,0,29028,0,28986,30586,35198,35556,17197,33957,57373,65473,75027,120654,66065,28779,55729,56813,32804,29032,23956,0,18077,0,24228,19495,42184,23552,35749,0,0,31106,27662,18670,28300,12377,22458,20090,71282,30545,51783,92333,29912,12693,43806,26638,0,17807,9147,17285,33165,13101,39569,17516,30039,25572,17965,35270,30371,27453,47511,48903,22118,94769,35427,33389,38709,9463,32312,35759,0,40463,0,0,65027,21284,8158,15689,28207,92333,0,36401,54486,37915,29456,20458,18415,37088,20301,56840,19988,32124,26602,22523,21692,60923,16633,27097,32745,0,21592,43560,24968,91633,23066,11954,20354,35589,34477,0,112642,20762,19753,19506,12959
657314,7837,24121,26422,24286,23729,20333,25448,19125,19529,29272,31710,15484,22657,20721,19824,25182,35742,24529,20538,5186,19453,13411,12706,21974,12934,19548,35822,16229,16976,11006,13738,21199,22275,11432,27297,16392,17129,10769,17672,12118,16328,30603,49779,11420,21174,9857,25271,20999,8879,23424,16167,13389,8298,25051,15744,17039,23470,25790,16698,23083,42247,23203,19056,26629,17681,21827,9733,53701,29621,7197,20930,10063,14198,22218,33283,18183,39207,18697,27775,36060,16820,41456,8410,8010,25274,28180,15158,13729,34066,9449,4476,18959,17148,25112,25088,7771,19805,34053,18261,7321,24592,8939,6918,8687,37846,19692,18763,9737,13034,14559,7078,15078,16465,21659,19745,13863,28016,24768,7753,7874,26465,26977,29423,22256,23065,14960,9279,25299,25617,14819,35942,17202,10195,23548,18800,11610,7649,10595,13906,38955,15096,23829,8191,7641,24001,8164,11271,17613,12083,20398,24670,9833,19209,30396,18446,13106,16349,16492,12925,17049,13637,26209,23771,7206,59305,42058,7839,31756,12356,15715,32037,12419,16733,19918,19297,22367,19617,7011,20159,13074,21838,11714,24714,27724,15298,11990,18870,25007,51610,30904,14439,75453,16245,45363,8720,20330,28437,22839,28537,36224,22661,18413,9573,20886,17194,14448,25196,7535,21776,12403,17588,22654,17063,28351,18963,24167,27342,8679,46038,24838,21347,22237,57929,23926,37361,27044,12733,29343,7599,9599,14341,20499,5978,10045,5910,24008,16143,22871,33946,16974,12918,22354,7655,24799,5757,17470,16709,14392,21592,21642,35649,15825,9718,16565,26823,14351,22518,8557,9041,15760,13823,21504,15395,16315,12216,9225,21689,21072,17770,28035,20513,15774,81539,17825,23180,18888,7905,13019,22051,4455,31949,15486,24158,24305,9776,8339,7699,19263,28108,14703,21895,63917,15376,19956,21724,2897,35244,7371,13644,19035,15873,16263,8355,8499,24387,10779,16472,16265,9505,40710,22320,17697,32978,15892,4540,16947,23986,23818,9389,57702,18017,14623,8718,6662
657317,96172,0,0,0,0,100878,80209,0,94803,120931,0,59820,0,0,112212,0,53095,92261,0,0,121515,78970,121959,139400,0,32146,98523,0,271097,0,69315,0,223242,127575,0,0,190819,78024,73162,66432,52136,0,0,78840,133009,0,0,0,203983,355877,0,98031,0,0,123615,98508,0,0,235921,99988,284286,108012,143564,87335,0,125992,75096,19023,102538,79620,70105,0,221522,0,0,112623,83478,43726,97562,0,96072,94381,55579,0,102912,139657,176280,167913,80172,0,85951,0,233337,0,110060,0,107484,0,102042,0,0,156512,0,0,125276,0,138776,59468,62574,0,0,36235,0,0,42344,0,0,105407,78384,176710,0,103070,18484,0,224755,0,0,142145,125882,158032,94247,68953,0,0,0,76155,0,67873,71622,0,104602,129285,0,0,107619,0,0,97936,187770,107226,0,0,0,122466,15110,80732,0,0,0,110128,195854,0,105781,0,114793,251352,193948,85891,0,0,101223,0,187566,95520,0,96761,0,0,0,0,114632,106140,138472,148261,91431,0,0,0,0,0,0,86605,118035,0,0,0,139701,0,0,0,0,0,66989,138391,0,0,147684,0,282760,0,0,0,0,58724,141581,0,137130,137191,0,0,160120,0,0,86999,0,0,0,95824,0,48698,0,102485,0,0,93174,101997,91789,0,0,0,58984,97862,62324,0,0,0,125859,0,0,0,0,0,171626,0,0,0,103991,0,0,204245,87729,0,0,0,194377,0,125791,115217,87747,0,17213,0,0,177480,193281,0,103676,188520,0,0,0,0,0,87248,0,85194,0,0,0,0,56718,115277,103346,0,0,0,118734,140667,119474,126469,0,83718,0,64123,143673,0,0,0,0,182045,95247,0,89690,71364,0,0,0,101841,0,89320,0,0,70052,0
657319,7053,0,35759,0,7811,8590,24532,25582,63773,58571,0,17558,0,120483,42254,5326,14255,17644,0,0,20843,31017,11788,0,24007,11888,15031,0,4830,0,15616,57729,6407,2536,0,0,14288,5893,15178,92508,10224,24423,10533,10010,35412,0,0,8230,7122,5865,0,9830,0,0,44230,13276,0,13851,0,21359,14883,9710,35397,0,0,34621,20257,9765,24025,3606,0,4362,7443,74918,26161,13601,13945,12226,154060,34190,36714,45450,0,0,27938,15419,9504,14027,26016,0,5261,0,6420,21644,18666,957,9185,26592,63715,0,12200,4021,0,0,60881,0,0,3997,19822,12234,4883,3807,0,0,0,9268,5399,12139,0,3882,16469,25854,11413,53227,6403,12912,0,29804,8334,19405,28733,15317,28882,0,14855,5217,0,92085,15713,0,10513,39263,0,0,33358,0,0,18465,5981,16670,0,0,0,19689,12625,1074,0,0,0,15967,37244,49596,112617,0,0,0,5680,0,0,33316,22846,0,15558,123695,0,9460,0,0,91093,0,43165,0,9190,0,0,0,31828,0,0,0,5454,9080,3267,20111,4962,0,9975,0,0,31233,57693,0,17601,6636,0,0,10375,0,0,0,0,0,0,38429,0,20715,0,4726,0,0,27330,7493,0,140886,10113,18124,0,0,0,8494,0,31547,0,0,7630,5069,5128,0,0,0,18867,0,26083,0,5240,11986,0,0,0,10878,0,0,0,0,31637,0,54459,904,0,5979,1063,18125,0,0,40072,0,27498,4304,4051,0,10805,0,0,10917,15512,0,1273,0,0,0,53046,0,0,88622,0,1510,0,0,0,0,13969,0,10385,0,13407,0,0,4206,17427,52822,0,5422,28525,9562,7152,0,10317,19232,0,15923,19463,0,0,0,0,46280,0,0,0,36705,0,34935,24823,0
657321,91743,146097,23283,223853,2754,65429,71626,211409,68319,86455,16113,130970,7297,245450,55736,108565,12866,17952,2810,72177,22598,142323,85110,113568,158444,11484,13335,70678,2817,45893,81359,82575,4740,6998,35324,5917,15998,36976,18159,47544,180336,4880,3247,46727,77334,1721,4186,196849,23109,21756,3152,15530,1251,168256,24514,4885,142983,58685,33369,5382,4980,55024,99022,2960,124110,149543,169575,3673,4925,32867,139730,32422,30497,56606,11773,32818,5385,11795,240943,80914,112548,255525,84941,2981,42651,57354,84139,6692,55085,1597,67150,57121,2350,75313,16935,5116,26344,66566,90950,116003,13597,102009,57301,1099,76322,6515,86427,7410,144931,11419,3651,234497,14173,20176,1869,23493,33509,65305,615,9487,53428,14479,3208,60887,27108,234644,60532,192319,180353,24964,98765,21990,231500,4553,32568,37295,1063,45437,18667,72028,28229,61889,118445,22338,6751,104926,19882,13517,16942,111786,6460,12003,56026,6112,2710,1549,15435,6727,22703,93418,17417,79059,103516,3406,9931,3439,1794,4738,32447,88876,92322,16226,25162,94584,75558,9552,3437,33047,136609,20120,150224,28654,165604,14194,57943,118541,31215,4704,5944,84651,18096,201388,13861,4246,88449,33080,113209,3670,5354,22773,144471,47717,86096,223327,10365,28988,158190,26574,2485,37926,44364,86148,67766,40367,48223,114891,41650,90634,6883,5308,186818,118902,62899,291115,24557,22812,10322,114034,69950,89594,10857,115191,18957,46532,38047,24838,78387,1573,6071,1801,142418,74279,190565,18791,15080,18388,38096,71257,51373,2430,39948,13595,25872,28847,87296,65290,76554,678,7868,30373,1061,250247,99659,18381,30074,3931,4342,120188,202750,23990,2560,31611,61436,280749,5430,31923,1061,19582,12921,8297,136349,37734,11704,132753,10431,7705,12727,8746,48854,3654,9915,19301,50416,31185,117512,26055,71080,96231,27239,130640,43915,31330,77255,57811,98822,5306,113132,269228,76501,30403,15361,17014,46917,8888,6112,50186,21317,46218,41282,90943,24304,66743,116744,968
658089,22902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46549,16637,0,0,23492,11097,23628,0,0,0,0,0,0,0,0,0,0,23724,0,0,25190,0,0,0,31509,0,0,0,0,0,0,0,0,17209,0,0,0,0,0,0,0,0,0,0,0,0,14635,0,0,41847,16411,0,0,0,0,0,0,0,0,0,0,0,35890,0,11156,32671,0,0,42576,0,22136,0,0,0,7959,0,0,0,0,0,0,0,0,0,0,12384,0,0,0,0,0,0,0,0,0,8666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46308,16616,0,63640,18169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37397,0,0,0,0,0,0,0,0,0,51681,0,0,0,0,0,0,0,0,0,0,59240,0,21755,0,0,0,0,0,0,0,71160,0,17636,0,0,0,0,0,0,0,0,30811,0,0,0,0,26644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21870,0,0,0,21952,0,0,15404,0,0,14791,0,0,0,0,0,15443,0,21368,0,0,0,0,0,0,0,0,40569,0,14734,0,0,0,0,0,0,0,0,0,0,0,0,0,13780,0,0,32939,0,0,0,0,0,0,0,34963,10954,0,0,0,0,17317,0,0,0,0,0,0,0,0,0,0,0,16902,0,0,0,0,28983,0,0,0,0,0,0,17765,33841,15049,0,0,0,0,0,0,0,0,0,48375,34831,0,0,0,0,0,0,0,0,82690,0,0,0,0
665943,4292,6701,7715,0,0,2502,0,1462,0,11198,0,0,2963,6601,0,7819,9037,1845,1675,0,727,850,796,0,0,647,11754,0,0,0,2856,0,0,0,0,0,0,0,0,0,0,0,0,1368,1459,0,0,822,918,3351,0,0,0,1075,0,0,0,0,0,0,0,0,3079,0,0,1094,0,0,0,0,0,0,848,0,0,0,0,0,0,0,840,2131,0,0,0,0,0,0,0,0,1306,0,10444,0,0,1452,0,0,3899,0,5136,1539,0,1504,0,2718,0,0,666,0,0,1559,2444,2005,0,0,0,16756,0,0,0,1295,12293,0,0,6100,0,2930,0,0,39506,849,923,0,0,543,0,726,996,0,0,0,0,0,0,742,0,0,0,1764,0,0,1288,0,6691,1770,0,0,0,0,0,2743,0,0,0,0,0,0,0,638,0,0,0,0,2547,0,3660,0,0,0,0,0,979,0,0,0,0,0,0,0,7332,0,0,0,518,0,0,0,0,1641,923,0,897,0,626,1065,0,695,0,0,0,0,0,2996,0,16577,0,0,6947,1606,1393,0,25833,7049,6427,1862,0,0,0,0,0,0,0,0,9498,0,3473,0,0,0,0,0,775,0,4481,679,0,0,1338,0,27706,918,0,0,3498,0,0,0,0,0,0,3062,0,0,634,0,10274,0,3292,2217,0,0,3290,5152,0,0,0,0,0,0,12905,0,0,5265,1341,1441,0,0,0,0,3455,0,0,0,1305,0,0,0,0,0,0,0,0,0,1013,0,0,1436,0,0,0,0,0,0,1217,1019,0,0,0,0,745,1147,0,1671
679189,729,4215,0,863,712,3368,848,0,601,288,1334,558,2929,0,1662,0,997,986,2805,1923,957,824,2820,0,725,818,1243,1584,543,648,192,797,330,0,515,542,0,3248,422,749,0,770,416,1724,782,2781,1049,0,4144,424,985,3807,740,1165,718,1105,3536,1606,0,2064,1232,1009,1773,0,4097,718,0,330,595,878,0,1558,5317,846,893,235,1086,791,0,486,1195,1431,0,1337,0,284,0,815,1224,454,1190,601,388,4415,373,0,2860,378,689,2017,0,1017,1312,446,227,2370,0,708,587,758,1416,944,1085,762,0,1725,1299,1469,0,850,1840,511,348,741,4225,0,6005,219,0,1304,1039,998,0,1698,1743,2678,637,907,440,147,1694,757,3386,432,1430,1465,2520,899,8037,189,714,1159,733,590,2037,544,751,1060,2703,0,578,0,1622,239,0,0,1363,0,1055,0,0,757,0,2907,2470,1583,1486,983,4638,497,0,0,1292,0,0,540,6039,1469,1667,711,0,0,969,909,0,327,0,328,796,0,0,2293,6822,4806,832,561,1238,2847,0,91,689,609,1251,1555,0,0,0,0,1989,2108,1564,4044,2618,2026,0,0,340,0,685,0,846,0,1434,3317,624,718,155,396,1700,899,0,0,1159,848,0,0,0,152,170,1326,2155,1354,0,1412,0,684,0,520,402,0,516,0,136,762,561,1217,1007,0,772,1002,1828,1306,1141,339,1316,416,676,0,699,1416,0,686,2260,2857,791,1037,1357,945,1851,440,1503,0,407,204,0,555,0,0,0,0,241,124,6663,6622,3680,877,168,0,644,0,0,498,0,0,1813,0,338,0,1086,0,728,0,1261,1799
679935,83200,107329,38073,40464,9753,80939,62019,145280,59275,92945,57511,40911,136608,113038,145125,71302,5763,44389,124950,165737,123857,142384,96580,37383,42388,84245,166229,30982,41016,139119,15338,56641,10881,20238,55043,16835,214499,46571,32989,71661,124803,47249,1037,108939,77421,52088,37250,55218,38493,76622,24868,93846,3321,38851,180359,106657,41619,306309,161518,33334,5115,298261,119951,62566,18753,57600,145812,1068,71144,95055,80228,63892,66531,90876,48906,69030,186137,77354,119385,93937,151139,135728,131056,13880,221648,9535,68916,227205,79729,1841,102728,130667,11546,77275,207614,9596,34659,16803,65853,201831,25899,125208,37762,16805,100520,131793,205695,141795,45404,73497,81899,120140,123262,85837,63623,35875,53475,302525,4115,57598,113981,47093,1012,81696,26148,203320,197048,182017,40280,59250,46348,214435,119493,49675,52080,55812,9337,72361,37742,68660,88164,71944,41500,46351,82277,152933,88178,157323,42865,82837,22683,39217,60206,26529,22075,2771,97304,74715,61230,82996,62340,81528,110196,9044,130499,6849,123808,31112,113493,45111,52040,64743,251921,18395,101002,154194,42177,292470,35563,76101,203345,101647,42745,57062,121463,38990,66781,45618,5165,58719,45574,114098,82476,19463,115942,111967,124924,1029,84306,63325,92153,63245,207135,8498,82666,180306,36384,103252,20760,245215,86847,44339,21642,240503,122189,142599,62808,98238,3812,27823,159828,31753,89944,114500,4889,37539,34597,54958,73452,92175,86983,153948,185847,61613,41568,50855,93976,11314,46813,1033,54498,142631,135077,54556,25415,138240,141836,82666,34290,19576,84338,220565,83996,59123,48394,301260,128630,2482,23066,107602,1548,181023,11073,94125,91183,55762,23757,113092,117112,224825,20489,35696,127291,251365,162889,411977,17027,74395,86097,68220,105779,123030,63416,38252,46052,41350,44659,99185,201421,12008,237433,148424,329476,31722,137934,63692,126357,130220,137905,157537,100928,79677,198451,181430,34063,47114,85846,241032,37786,12011,48730,32114,95395,203414,32678,94126,121843,18383,115330,71584,155852,128880,135605,36483
709991,59754,96820,32669,74068,34232,39314,42796,98426,24656,40647,73483,27242,67182,89128,58063,70157,46488,43251,86256,167220,74455,110583,120212,49549,31274,104544,56746,82467,53580,82171,13027,25024,35458,4365,80205,21965,38455,55563,65774,25719,30751,69025,13626,37367,96445,95082,42245,27525,133926,61292,54907,126305,9132,53550,144719,97804,86373,14846,121395,33159,43170,11100,60418,41680,53800,48003,136475,12544,74105,61140,90105,61030,21676,47153,78947,39805,45410,69379,83833,33922,90770,96316,174448,39390,35633,27293,50586,158104,29523,9666,66855,31422,47371,26746,70888,8568,29925,23431,21090,132811,57604,43085,41710,18087,38607,67294,73261,72147,31338,100764,35519,73132,77992,80454,70140,78447,45941,11387,4654,69632,43557,57682,10352,61715,27317,73341,143941,67971,64293,131019,30084,145554,167220,42015,23115,80684,11580,46941,57755,34719,39300,65495,93958,44667,68808,163135,98920,94539,104212,38549,39864,159465,45201,37596,46620,8654,93709,77369,117985,15955,90909,27615,95768,27691,50333,46458,103940,50264,42042,35443,27299,66561,142019,90662,64446,82405,68699,81416,68975,64539,40121,98624,54689,47276,55000,34875,94890,59664,14310,28814,59230,22023,80154,30871,108174,39928,19462,15920,68983,75521,70194,20841,178279,40147,102217,150633,54014,133001,48837,2003,68554,38947,26456,91080,42606,23073,67089,95462,52845,20080,87388,47512,30218,97383,64148,28902,50963,62453,35286,73208,118113,100912,56326,73666,74328,49344,49528,47297,22459,64148,39256,60123,141541,75873,36483,114340,88554,28449,39881,39244,29967,141307,149092,27743,27896,48937,19044,7504,13028,45813,4396,54403,17218,91197,91732,69099,26893,67720,88563,74640,32409,125740,75483,73367,52307,20348,21845,49411,112112,114383,43804,67519,77228,90241,72300,20601,129360,119529,32888,58858,50259,81168,75516,17246,70848,83337,42887,99406,87354,64213,33342,39336,171742,144795,62138,29438,38724,49080,35707,13773,55105,24177,29462,144151,80369,62997,39510,20045,64760,26065,84312,153200,163778,70674
