,33-0,D-15U,77-6,22-6,90-6,16-0,D-6Fryst,D-6Fresk,78-6,12-6,11-6,75-0,89-6,89-0,31-0,12-0,D-7Fryst,D-15Fryst,24-6,66-6,88-0,D-13U,D-4,23-0,19-6,D-9Feresk,24-0,18-0,3-6,77-0,D-12,25-6,25-0,64-6,11-0,54-0,D-9Fryst,30-6,66-0,D-3,32-6,D-10,32-0,56-6,56-0,59-6,71-0,37-0,3-0,D-2,59-0,64-0,30-0,31-6,22-0,70-0,90-0,81-0,D-5Fryst,18-6,88-6,D-14,D-14U,78-0,16-6,19-0,75-6,36-0
11-6,0.5388974614062327,0.7574666435198459,0.7975593364441929,0.7848245973778252,0.38879684876503784,0.8043570333460448,0.5783293325925708,0.6501852612998127,0.5247132419777528,0.8522761180922954,0.0,0.6399903405806415,0.5824885542791146,0.6056846776440162,0.5660100065788234,0.5936854056306697,0.710533604895463,0.5611351116761536,0.4756793579443704,0.7015100078306711,0.5918372435489221,0.6253317187489643,0.7181033775711881,0.5645551399062745,0.568341244320471,0.760961685686194,0.762212297492012,0.7633963637495809,0.6501264899686081,0.8416395654955728,0.6286108202241207,0.555722531091682,0.5371763895869712,0.5373989875224574,0.8024960378886306,0.602458095594011,0.5830268696804891,0.4988359865846123,0.7616825035737145,0.6656708507592696,0.65017631248295,0.581629417368279,0.6580298110994257,0.5730980427478217,0.785292334054716,0.514536526916163,0.7596186337178856,0.7858886315356421,0.6154548440499253,0.7169141119213766,0.6923115639592383,0.5375643571380986,0.5506110833024707,0.6440789060247247,0.9041215966040719,0.8000359186388231,0.5800113627239416,0.5413148715377678,0.681475780501477,0.8402016084379323,0.5435824662181832,0.5755441370225152,0.5917837303366944,0.65875736385701,0.5655691308470875,0.6808826862706845,0.7969499735185024,0.5951217091195182
75-0,0.623571281411607,0.5683358112737581,0.6495266290427646,0.5713120048387211,0.5107451777899861,0.6715199041507086,0.5982655564043341,0.5198810841188919,0.6646492366490635,0.7991487142606459,0.6399903405806415,0.0,0.48221051233738416,0.579577627723978,0.4543722254309404,0.4774181513556839,0.5899243600858202,0.5553311731274647,0.5128547384773373,0.49234378570635395,0.5967319056789556,0.5659213908042544,0.5881464491299502,0.5706104758115735,0.5835728685894607,0.6465672745031271,0.575617668227859,0.7750971330119838,0.5128269435798757,0.724267042062525,0.5051969350992536,0.4144583827694543,0.5222406834950544,0.574636935026885,0.7005128792626848,0.5271157165003686,0.626772606231908,0.49696685977459315,0.566354489791063,0.5345576303697561,0.5217855195579375,0.5635939746605187,0.6383669708455363,0.5027552689334241,0.5228917239429652,0.5805896747172222,0.6148174801883444,0.6160362068965782,0.5535296293840805,0.5536687020860287,0.6137646358720158,0.593599321749752,0.5396205145059111,0.34242573034056323,0.7075529286710083,0.562470428224764,0.6403778743315904,0.5173531711221704,0.5821120289425177,0.8280485539343247,0.5291412860875427,0.636599559343863,0.5765795060842601,0.7125197408450326,0.5674130061057086,0.44316651310133354,0.41996552986130825,0.6039512766573717
89-6,0.5155358719745604,0.5325303790161554,0.5941876872936672,0.49796599357628996,0.4596217470288361,0.5790192367084549,0.5697320998805119,0.5862352329169138,0.5840429918213975,0.7759699259656102,0.5824885542791146,0.48221051233738416,0.0,0.46603313421412507,0.4659285083759274,0.46088844287809705,0.6808960841586182,0.46838412083869974,0.45495900759510316,0.4664302263758485,0.5309905237060408,0.5553061514562982,0.6720623907428726,0.5968117832543498,0.5868370980503139,0.7424578277375826,0.5156539652340221,0.6850228936411401,0.5046347498075872,0.6730393673837366,0.4833658132213712,0.5225917385372568,0.510004407735649,0.5462957851213208,0.6189914148892532,0.5078812062707964,0.5937216862047141,0.5072435632378409,0.53786698282884,0.6177444336027789,0.4917338401925705,0.5599056104103507,0.613531512955678,0.47319768991912886,0.432365082606595,0.5680511772131601,0.5421683048436428,0.660600718917946,0.471700286967927,0.6470195060760799,0.5421567947149336,0.5699361881941015,0.43032964514353406,0.5140936936657114,0.7328851516751862,0.5449132878578424,0.5805500700736735,0.41174704939778023,0.6530158828097732,0.7895316684854986,0.43775855578146367,0.5438104227955365,0.5371606930051112,0.7040516791922689,0.5183837972024149,0.6130700958790553,0.6632870754205912,0.453168090924276
89-0,0.45370577611717433,0.619702602537551,0.6650414692280991,0.6209516314424471,0.44926700405641523,0.6356017318242659,0.47759606933347376,0.6156945427682028,0.6567488753904098,0.7706670209416697,0.6056846776440162,0.579577627723978,0.46603313421412507,0.0,0.49172080893824144,0.548186011825161,0.6732936483497846,0.49961479481153326,0.4943426544432396,0.5345482996786338,0.4136183221024286,0.44979490721399096,0.6441342480891272,0.6081293902037852,0.4731031152868487,0.7379684468689297,0.5686631071027095,0.7467101550953074,0.5233834158596247,0.7702081544918206,0.4142037762307206,0.5417023992896024,0.46544640405806426,0.5550298030173088,0.6453260457450902,0.4998176335165032,0.5160609027882628,0.5551093031021812,0.5267604976729531,0.5808269814908391,0.49699253559021206,0.528315602841635,0.5050271877066437,0.5418715554253575,0.5639868872841419,0.605263789683329,0.5761792386355344,0.6922447703702457,0.37527197114523714,0.6220267832379479,0.5422758923030254,0.48819073358388354,0.4297577620064934,0.5413258475362427,0.7577397466394983,0.6199505761774472,0.38791939695199773,0.512183418051617,0.6037459713508125,0.8085743877936956,0.3702182617758425,0.45281550115752406,0.41796728302124947,0.7314663518451249,0.5541611496295558,0.6635363682700324,0.6550240929029626,0.44113295590871454
31-0,0.4375204132083132,0.6101259411605383,0.7514686721344475,0.5819607648693342,0.356073198639957,0.7248617035019638,0.5056809887633031,0.5053944126391171,0.6061723678913867,0.8260470935979137,0.5660100065788234,0.4543722254309404,0.4659285083759274,0.49172080893824144,0.0,0.5899981935826788,0.5689808795690372,0.49135433681655893,0.3915549544306589,0.4825913815295271,0.45318906748731885,0.4902710189699561,0.5623699613187004,0.4747550109969364,0.5712193734503161,0.641705201250806,0.6004240777468431,0.7653801958980928,0.524014462741118,0.8022282861806636,0.43618244537381823,0.36391556717594914,0.49367553419519855,0.4815199884676838,0.7299092410884574,0.4472414892022505,0.5357366388932842,0.43092813004153774,0.518814382927876,0.5215472301468116,0.5262481035190456,0.47979156445922294,0.5441878575992616,0.4362874121988301,0.5842890812891857,0.5703766543144907,0.6663920454411517,0.6689018433158915,0.5404595313885827,0.5428280600084069,0.5824692519160277,0.46563327782448727,0.44462377312694945,0.45086795617419756,0.759839714631183,0.6440777661460175,0.44736225550902814,0.29268274027484725,0.5396021973387216,0.867999725493255,0.4214708122128693,0.5375912291864287,0.5160519517871003,0.702140854698981,0.5076209876347448,0.5294193474177534,0.6175022746560554,0.4693099149849133
12-0,0.6034074626036479,0.5722107302008818,0.5257444170046484,0.6068436366479915,0.5396963551503623,0.5440960954092563,0.6324920208588201,0.6070818454059235,0.5907882146684182,0.6285471665836598,0.5936854056306697,0.4774181513556839,0.46088844287809705,0.548186011825161,0.5899981935826788,0.0,0.6986776552210922,0.5118734290427371,0.4919645397906048,0.5166233546809481,0.5887799631161355,0.6813400790244974,0.6823847130427301,0.5037750033035924,0.5935388619494337,0.7280977857403634,0.5284903816835538,0.64361160757242,0.4717172880114201,0.6208601767233044,0.6226360716090273,0.5663800684094007,0.542523585645414,0.6596378441793361,0.5612684085549424,0.526709497345538,0.649836022348217,0.5496837033082889,0.5251267493627307,0.6214011806810931,0.5184648833025908,0.626360322427751,0.6731667828552594,0.49381260460123444,0.46058014804460323,0.47749149086308396,0.5321485583723382,0.5712058918862969,0.499632031920295,0.6805252206126561,0.5894177697197923,0.5550143164753422,0.48850643924308296,0.5677340231371426,0.7613255024855003,0.43773343798030645,0.6293139434581596,0.5403309385614885,0.6975541674364162,0.7013396696435654,0.5513699999080233,0.6467207049100024,0.6734912200830848,0.6963671288694656,0.5242674702299638,0.6243953141332826,0.6441449363555739,0.5170899745499384
D-7Fryst,0.6695540755344679,0.7201401137918364,0.8237930246696121,0.729616057000347,0.555224348337539,0.8699509656199548,0.43488121311941447,0.22753837233938717,0.7907654172085753,0.8851268271940796,0.710533604895463,0.5899243600858202,0.6808960841586182,0.6732936483497846,0.5689808795690372,0.6986776552210922,0.0,0.5708369268767886,0.6108122259193441,0.5949543286300069,0.5385071310161932,0.4512787372724741,0.24251560297485156,0.7018018978405738,0.47747000759631236,0.3713552048807866,0.5853009101781719,0.7914926782728605,0.6192541662509722,0.8515531818325237,0.47193822205531527,0.6472461489721607,0.6251849773661049,0.4775955197709142,0.8685527774093245,0.5781488844553424,0.3703059970951097,0.6051213259944693,0.5809558108197709,0.2874127774718226,0.703480236428409,0.39609255745449085,0.7262231046984765,0.5530550927186911,0.7627998279573713,0.6710936913098733,0.7274641615470342,0.8189941019566708,0.6550036489388752,0.28682855926847506,0.8146973014159441,0.6176372575380972,0.6840100368784521,0.6774027652980237,0.8643643858449064,0.7488463846467911,0.5158914568778901,0.5760487850710616,0.15743566298702208,0.9014099381571729,0.5803338347109199,0.5732508828553571,0.5258705999491909,0.8647389978854734,0.5523507513820684,0.755319412073968,0.8330243032888022,0.682397916453823
D-15Fryst,0.5424667869537467,0.37091836871037615,0.7441407129711186,0.5338736218535638,0.441755502465719,0.6804530350490682,0.4454230936624557,0.45271823848072873,0.6039958008892881,0.8076771574494814,0.5611351116761536,0.5553311731274647,0.46838412083869974,0.49961479481153326,0.49135433681655893,0.5118734290427371,0.5708369268767886,0.0,0.42933870896712867,0.4774811124834969,0.5101259307375653,0.40730475454810844,0.5534760611193824,0.5105677371286103,0.5745748778157844,0.657149105013481,0.6274249514463573,0.7742333000201674,0.46290565201021944,0.8119053242957645,0.34859962276616163,0.4109593124337923,0.5230137213237853,0.47320670911976553,0.6744553249285872,0.38726057409118614,0.4693070207656035,0.48516973799391516,0.5064405783126815,0.43991630742000065,0.4330044869018187,0.4273733800892894,0.5413755485249361,0.4504618667372419,0.5848087098229426,0.44350414909764074,0.6596639129526087,0.7403278492978265,0.42624185880109966,0.5284233038782093,0.5890458228844406,0.5140307935232669,0.5148491258364916,0.5696824397924323,0.7373863985353082,0.48805741424270677,0.5229795346014812,0.5029824733678345,0.5324006662259437,0.8518284741079934,0.45591747280651274,0.40181802472220146,0.40078648117190935,0.7955518862197288,0.4491366771601721,0.5957686150946258,0.6094614331468782,0.4206844698262257
24-6,0.47065373825756013,0.6321699292229652,0.7039983242004529,0.5847472500125059,0.4196788859137113,0.7541550536108456,0.49058907220442605,0.5209016598329907,0.6132312542034567,0.8282901890079778,0.4756793579443704,0.5128547384773373,0.45495900759510316,0.4943426544432396,0.3915549544306589,0.4919645397906048,0.6108122259193441,0.42933870896712867,0.0,0.572523492631525,0.44521183174013124,0.5236161285408775,0.5992659089150746,0.5160729825162375,0.5246109419897168,0.6750710296520694,0.6814794081658173,0.7989499211533829,0.4655275517104232,0.7933472740489402,0.47472132661912725,0.4624744697051377,0.5198513580663238,0.5050217445527441,0.7606117799839056,0.4635984927709607,0.47753083283446024,0.46291630076907203,0.5933449055259468,0.569738731169621,0.5245900849371894,0.46521253305313187,0.5830055816839408,0.42283869356732057,0.6297741955811176,0.4158874109888448,0.6867276669861744,0.7222827293805454,0.49599445062430175,0.5832465707539459,0.6323631505401491,0.5154524926639933,0.4564037598520023,0.5662444532782178,0.7587096600364592,0.6337619208982181,0.5192292729977788,0.33265588705886834,0.568882492190776,0.8313881783010428,0.4212858123481164,0.4721401138386431,0.4818348633907515,0.7577265700478686,0.4160355542600326,0.6553123412612316,0.7181183188494119,0.5407475466145222
66-6,0.5322894612279865,0.46652118545162097,0.590956641475724,0.4216021579467042,0.49393773975011646,0.6105817925227893,0.583417864223074,0.5446685325194979,0.671785181102731,0.7189054528232399,0.7015100078306711,0.49234378570635395,0.4664302263758485,0.5345482996786338,0.4825913815295271,0.5166233546809481,0.5949543286300069,0.4774811124834969,0.572523492631525,0.0,0.5551263150559486,0.5253303868234703,0.5884794045464304,0.6088962994744335,0.5929656113276529,0.6596286188221432,0.4975370219778561,0.6291341801275612,0.40764044247604964,0.6904647959657353,0.3789433308113783,0.5395058995461416,0.49187162529739803,0.5588602433948139,0.6274869204839411,0.49374118221479396,0.6122471907861947,0.47614733689073946,0.4135697477494196,0.5310689139669497,0.4148542398235007,0.5321318681050297,0.5601417266209844,0.46161535156941025,0.4618413630624205,0.5740716425663824,0.5638979060928372,0.6041279085620469,0.48958841620908905,0.5072494616779044,0.5614140076863378,0.5823377594909259,0.45515379855364635,0.40206287881451097,0.5168009950055138,0.48007264861675086,0.6025830957783717,0.5154156233092623,0.5752923787845389,0.7405048949170661,0.47862901023229276,0.5673502465801195,0.5365262878794331,0.7357526106760433,0.5572706054169386,0.5192280655506899,0.6054803854692028,0.5258709293233226
