taxon,donor,donor_abundance
272623,D-13U,25.5902073334831
272623,D-4,26.8108837280742
272623,D-12,119.981911157942
272623,D-9Fryst,16.9704531641233
272623,D-3,10.403126352465
272623,D-10,12.8792211345502
272623,D-2,457.054629533521
272623,D-5Fryst,13.4749645764201
272623,D-14,129.459554486708
1185325,D-6Fresk,11.8977239075261
1185325,D-7Fryst,16.1335834962259
1185325,D-15Fryst,3.11807283010429
1185325,D-13U,15.3541244000898
1185325,D-4,8.7216127790121
1185325,D-12,12.2772188161615
1185325,D-9Fryst,33.9409063282465
1185325,D-3,10.403126352465
1185325,D-10,14.3102457050558
1185325,D-2,11.1191267108027
1185325,D-5Fryst,11.6783026328974
1185325,D-14,20.4900014295508
754252,D-6Fresk,3.96590796917536
754252,D-7Fryst,46.9340610799298
754252,D-15Fryst,9.35421849031287
754252,D-13U,10.2360829333932
754252,D-4,7.7525446924552
754252,D-12,23.4383268308538
754252,D-9Fryst,5.30326661378852
754252,D-3,9.57087624426781
754252,D-10,10.7326842787918
754252,D-2,16.3860814685513
754252,D-5Fryst,3.59332388704536
754252,D-14,14.9018192214915
568816,D-6Fresk,35.6931717225782
568816,D-7Fryst,9.53348115686073
568816,D-15Fryst,143.431350184797
568816,D-13U,56.2984561336627
568816,D-4,15.8281120804294
568816,D-12,62.5022048822768
568816,D-9Fryst,21.2130664551541
568816,D-3,46.1898810049447
568816,D-10,23.611905413342
568816,D-2,51.4991131868756
568816,D-5Fryst,21.5599433222722
568816,D-14,30.7350021443262
525268,D-6Fresk,3.96590796917536
525268,D-7Fryst,2.20003411312171
525268,D-15Fryst,10.913254905365
525268,D-13U,35.8262902668763
525268,D-4,3.55324965070863
525268,D-12,12.8352742168961
525268,D-9Fryst,5.30326661378852
525268,D-3,8.32250108197201
525268,D-10,4.29307371151674
525268,D-2,4.09652036713783
525268,D-5Fryst,5.38998583056804
525268,D-14,11.6420462667902
290338,D-6Fresk,25.7784017996398
290338,D-7Fryst,5.86675763499122
290338,D-15Fryst,14.0313277354693
290338,D-13U,10.2360829333932
290338,D-4,8.07556738797417
290338,D-12,12.2772188161615
290338,D-9Fryst,12.7278398730925
290338,D-3,19.5578775426342
290338,D-10,13.594733419803
290338,D-2,12.2895611014135
290338,D-5Fryst,7.18664777409073
290338,D-14,5.58818220805932
398511,D-6Fresk,9.91476992293839
398511,D-7Fryst,5.86675763499122
398511,D-15Fryst,18.7084369806257
398511,D-13U,25.5902073334831
398511,D-4,10.6597489521259
398511,D-12,56.3635954741961
398511,D-9Fryst,10.606533227577
398511,D-3,19.9740025967328
398511,D-10,14.3102457050558
398511,D-2,8.77825792958106
398511,D-5Fryst,8.08497874585207
398511,D-14,20.0243195788792
205921,D-6Fresk,5.94886195376303
205921,D-7Fryst,7.33344704373903
205921,D-15Fryst,12.4722913204172
205921,D-13U,20.4721658667864
205921,D-4,5.16836312830347
205921,D-12,16.7416620220384
205921,D-9Fryst,7.42457325930393
205921,D-3,8.73862613607061
205921,D-10,7.87063513778068
205921,D-2,9.36347512488646
205921,D-5Fryst,6.28831680232938
205921,D-14,7.45090961074576
324831,D-6Fresk,13.8806778921137
324831,D-7Fryst,14.6668940874781
324831,D-15Fryst,24.9445826408343
324831,D-13U,66.5345390670559
324831,D-4,10.013703561088
324831,D-12,40.7380442536268
324831,D-9Fryst,13.7884931958502
324831,D-3,11.2353764606622
324831,D-10,8.58614742303347
324831,D-2,6.43738914835944
324831,D-5Fryst,8.08497874585207
324831,D-14,6.98522776007415
1089547,D-6Fresk,21.8124938304645
1089547,D-7Fryst,13.9335493831041
1089547,D-15Fryst,7.79518207526073
1089547,D-13U,5.11804146669661
1089547,D-4,10.013703561088
1089547,D-12,12.8352742168961
1089547,D-9Fryst,8.48522658206164
1089547,D-3,12.8998766770566
1089547,D-10,9.30165970828626
1089547,D-2,6.43738914835944
1089547,D-5Fryst,12.5766336046588
1089547,D-14,11.6420462667902
457401,D-6Fresk,525.482805915735
457401,D-7Fryst,125.401944447937
457401,D-15Fryst,14.0313277354693
457401,D-13U,51.1804146669661
457401,D-4,163.772506628116
457401,D-12,26.7866592352615
457401,D-9Fryst,366.986049674166
457401,D-3,349.128920388726
457401,D-10,125.930162204491
457401,D-2,575.853720180518
457401,D-5Fryst,289.262572907152
457401,D-14,414.456847097733
457398,D-6Fresk,23.7954478150521
457398,D-7Fryst,19.8003070180954
457398,D-15Fryst,45.2120560365122
457398,D-13U,51.1804146669661
457398,D-4,29.395065292226
457398,D-12,49.1088752646461
457398,D-9Fryst,22.2737197779118
457398,D-3,40.7802553016628
457398,D-10,58.6720073907287
457398,D-2,17.5565158591621
457398,D-5Fryst,21.5599433222722
457398,D-14,61.9356861393241
742817,D-6Fresk,2145.55621132387
742817,D-7Fryst,2744.17588376714
742817,D-15Fryst,762.368806960499
742817,D-13U,972.427878672356
742817,D-4,5222.30791845514
742817,D-12,605.490109797057
742817,D-9Fryst,1444.60982559599
