donor,recipient,taxon,pre_abundance,post_abundance,log_fold_change
D-2,11-0,441770,55.7341103691482,21.0901767882792,-1.40198936697784
D-2,11-0,1122997,136.548570404413,16.6501395696941,-3.03580803404075
D-2,11-0,742821,61.3075214060631,10899.1813623218,7.47393998359456
D-2,11-0,1203606,8076.80149432907,25158.9158944602,1.63921376991094
D-2,11-0,478801,201.571699168419,25.5302140068643,-2.98101556120037
D-2,11-0,592031,89.1745765906372,14.9851256127247,-2.57310128337059
D-2,11-0,1028803,6.50231287640063,2.77502326161569,-1.22845311198315
D-2,11-0,333381,25.0803496661167,19.4251628313098,-0.368630770031409
D-2,11-0,1121344,5580.84225163071,210.346763230469,-4.72964134415609
D-2,11-0,272621,3541.90271395937,4.99504187090824,-9.46981209909671
D-2,11-0,411460,32636.9661303337,8749.09333922194,-1.89930152878628
D-2,11-0,888050,16.7202331107445,13.8751163080784,-0.269095096480494
D-2,11-0,279808,140.264177762356,3.33002791393883,-5.39646852341683
D-2,11-0,1437599,22.2936441476593,16.095134917371,-0.470007790406491
D-2,11-0,1437612,194394.074654713,327.452744870651,-9.21348180486073
D-2,11-0,547042,5459.15611065807,23563.8325236835,2.10982434615572
D-2,11-0,663952,27.8670551845741,3.88503256626196,-2.84256195836382
D-2,11-0,266835,130.975159367498,37.1853117056502,-1.81648844675393
D-2,11-0,1280705,63.1653250850347,18.8701581789867,-1.74302628481291
D-2,11-0,504472,21.3647423081735,9.43507908949334,-1.17912539961958
D-2,11-0,469605,14.8624294317729,4.4400372185851,-1.74302628481291
D-2,11-0,411489,13671.5772735521,982.913239264277,-3.79797180733975
D-2,11-0,908338,39.9427790978896,6.66005582787765,-2.58432853879385
D-2,11-0,441620,103.108104182924,34.4102884440345,-1.58324584077614
D-2,11-0,1276282,28.7959570240599,2.77502326161569,-3.37529450031242
D-2,11-0,720554,900.105882461744,52.170437318375,-4.10879028855035
D-2,11-0,591001,345.551484288719,275.282307552276,-0.327988785534063
D-2,11-0,347256,14.8624294317729,1.66501395696941,-3.15806378409175
D-2,11-0,411459,25019.9710465501,6532.40475784333,-1.93739402961356
D-2,11-0,457396,126.330650170069,18.3151535266635,-2.78609500670479
D-2,11-0,467705,634.439956368804,72.1506048020079,-3.13640024007454
D-2,11-0,997350,62.2364232455489,16.095134917371,-1.95113448014311
D-2,11-0,1121445,117.041631775211,71.0405954973616,-0.720306208312823
D-2,11-0,525325,11.1468220738296,3.33002791393883,-1.74302628481291
D-2,11-0,234621,30.6537607030315,11.1000930464628,-1.465492309284
D-2,11-0,471870,1522.47011491723,32549.3578447951,4.4181432668607
D-2,11-0,398513,837.869459216195,28.8602419208032,-4.8595701899272
D-2,11-0,1158610,16.7202331107445,10.5450883941396,-0.665023772811634
D-2,11-0,742729,964.200109386265,23.3101953975718,-5.37029959039203
D-2,11-0,207244,1801.14066676297,422.358540417908,-2.09237072941615
D-2,11-0,642492,374.347441312779,59.3854977985757,-2.65619532693973
D-2,11-0,525258,254.51910401911,22.7551907452486,-3.48350636315535
D-2,11-0,629741,42.729484616347,6.66005582787765,-2.68162574014876
D-2,11-0,657314,32806.0262651201,3616.41031453757,-3.18133057440244
D-2,11-0,444177,40.8716809373754,81.5856838915013,0.99721444138616
D-2,11-0,411472,18198.1159373664,375.738149622764,-5.59791768097683
D-2,11-0,242619,67.8098342824637,46.0653861428204,-0.557811412345999
D-2,11-0,1037409,219.22083411865,39.4053303149428,-2.47592221467007
D-2,11-0,1440052,26.9381533450883,8767.40849274861,8.34635570256395
D-2,11-0,457412,268019.763354197,7719.55970916252,-5.11767701178106
D-2,11-0,742743,9418.13575054657,118.770995597151,-6.30918704566889
D-2,11-0,1009846,83.6011655537224,62.7155257125146,-0.414700418727394
D-2,11-0,457394,1457.44698615323,53072.3198784001,5.1864443004611
D-2,11-0,873513,378.063048670722,110.445925812304,-1.77528664853551
