taxon,average_distance,comparison,sample_id
428127,1.846886904,D-2 vs 12-0,D-2
435590,13.04475982,D-2 vs 12-0,D-2
435591,4.885118395,D-2 vs 12-0,D-2
445970,7.977481208,D-2 vs 12-0,D-2
445972,3.150752793,D-2 vs 12-0,D-2
445973,2.324818886,D-2 vs 12-0,D-2
449673,10.05274305,D-2 vs 12-0,D-2
457412,5.587909925,D-2 vs 12-0,D-2
457416,4.470689358,D-2 vs 12-0,D-2
457421,2.416184946,D-2 vs 12-0,D-2
457424,7.50066893,D-2 vs 12-0,D-2
469593,15.08038992,D-2 vs 12-0,D-2
469596,2.145867078,D-2 vs 12-0,D-2
470145,8.73870649,D-2 vs 12-0,D-2
470146,3.055831708,D-2 vs 12-0,D-2
471870,3.618537873,D-2 vs 12-0,D-2
471875,3.609512935,D-2 vs 12-0,D-2
476272,2.919201097,D-2 vs 12-0,D-2
479436,2.91442504,D-2 vs 12-0,D-2
483215,5.199197884,D-2 vs 12-0,D-2
483216,12.74396644,D-2 vs 12-0,D-2
483217,7.548857669,D-2 vs 12-0,D-2
483218,2.681580576,D-2 vs 12-0,D-2
484018,5.822857925,D-2 vs 12-0,D-2
500632,2.5610709,D-2 vs 12-0,D-2
511680,2.57782826,D-2 vs 12-0,D-2
515619,6.454055269,D-2 vs 12-0,D-2
515620,8.931923003,D-2 vs 12-0,D-2
518636,4.913963123,D-2 vs 12-0,D-2
518637,1.852855138,D-2 vs 12-0,D-2
536231,9.202414273,D-2 vs 12-0,D-2
537006,4.819137354,D-2 vs 12-0,D-2
537007,2.714188901,D-2 vs 12-0,D-2
537011,3.018933596,D-2 vs 12-0,D-2
537012,2.51877494,D-2 vs 12-0,D-2
545696,2.207897708,D-2 vs 12-0,D-2
546273,4.153193616,D-2 vs 12-0,D-2
547042,4.615651798,D-2 vs 12-0,D-2
548480,4.137823548,D-2 vs 12-0,D-2
552398,4.210748581,D-2 vs 12-0,D-2
561,2.537142389,D-2 vs 12-0,D-2
563192,6.218396071,D-2 vs 12-0,D-2
563193,5.043761577,D-2 vs 12-0,D-2
566550,2.242876154,D-2 vs 12-0,D-2
585394,5.16914106,D-2 vs 12-0,D-2
592028,9.960690358,D-2 vs 12-0,D-2
622312,6.89835269,D-2 vs 12-0,D-2
626522,2.008060623,D-2 vs 12-0,D-2
645463,2.705949347,D-2 vs 12-0,D-2
649757,2.641807576,D-2 vs 12-0,D-2
657309,8.710770019,D-2 vs 12-0,D-2
657313,4.383094376,D-2 vs 12-0,D-2
657314,3.588604109,D-2 vs 12-0,D-2
657319,2.736825509,D-2 vs 12-0,D-2
657321,2.952618062,D-2 vs 12-0,D-2
658659,2.296444951,D-2 vs 12-0,D-2
665951,4.529672034,D-2 vs 12-0,D-2
679189,5.061959046,D-2 vs 12-0,D-2
679935,5.844085672,D-2 vs 12-0,D-2
